Pfam	Estimate	Pvalue
pfam01446	0.104166652756379	0.747325078617135
pfam01051	-0.392600217939238	0.206811650253711
pfam05732	-0.276152151382879	0.384934851230136
pfam07042	0.455860659997277	0.136379337824992
pfam04796	0.749619824762747	0.00499892624110808
pfam02486	0.159665593075394	0.620126126444027
pfam01402	0.368438060229108	0.238618390538342
pfam03428	-0.518302167710657	0.0842903164981313
pfam10134	0.032025553693259	0.921294792306841
pfam06504	0.0646065903342764	0.841888751927441
pfam03090	-0.491489385897834	0.104632692104533
