Average_Area	SD_Area	Average_Length	SD_Length	Average_Minor	SD_Minor	Number_Cells
Cen01	0.345061162079511	0.245302885124042	0.829232415902141	0.394803221686401	0.502284403669725	0.129896968969331	327
Cen03	0.450128888888889	0.34939283600155	0.940737777777778	0.40888812393713	0.556893333333333	0.220577037886669	225
Cen04	0.371451648351648	0.327852832926278	0.826082417582418	0.439097720765421	0.495384615384615	0.21764972056762	910
Cen05	0.376451612903226	0.306432506475906	0.869414746543779	0.472590969884825	0.506633640552995	0.170744212273954	434
Cen06	0.354522041763341	0.257154561886577	0.777051044083527	0.315145381279705	0.526856148491879	0.180048721320973	431
Cen07	0.346946643717728	0.269355544248052	0.792512908777969	0.378166482114882	0.511452667814114	0.163228631428039	581
Cen10	0.323202564102564	0.214649561939244	0.769117948717949	0.298552164274012	0.497684615384615	0.159616347614974	390
Cen12	0.369940092165899	0.279592132012553	0.823930875576037	0.385380655753921	0.516967741935484	0.186845534022704	217
Cen14	0.297708737864078	0.207000001459988	0.710011650485437	0.278194169552404	0.486854368932039	0.164373176057226	515
Cen15	0.290340909090909	0.200519203184298	0.727204545454545	0.341499741533182	0.464431818181818	0.162486979475104	44
Cen16	0.429752675386445	0.383004094464749	0.849944114149822	0.385158842268765	0.577650416171225	0.215440609489224	841
Cen17	0.384810989010989	0.31305652381582	0.877657142857143	0.334722590493281	0.524263736263736	0.15559329645685	455
