KEGG	Test Statistic T	Pearson's r	Lower 95% CI	Upper 95% CI	FDR Adjusted p-value	Regression Coefficient
K00773	K00773	2.50231033353926	0.62052617616988	0.0724119864347115	0.880767877207233	0.0388832429554698	0.00546947867839833
K01409	K01409	2.17981288163809	0.567544453144211	-0.00942800276487202	0.861004323105781	0.05919561886388	0.0162447268376475
K01519	K01519	3.84926588255797	0.772688771947831	0.357175821222421	0.932898870422985	0.00428809633008187	0.0145619935790985
K01889	K01889	4.38531150226197	0.81110846011798	0.443789093896976	0.945079103174429	0.00189141457171826	0.0163459465652047
K01890	K01890	-2.36410426089088	-0.598766716116341	-0.872759280456777	-0.0378829316124995	0.044852818903325	0.00673669575508505
K01937	K01937	-1.71794520134984	-0.477366596510232	-0.825196244291852	0.132961289795564	0.119887579195615	-0.00386450876238024
K02428	K02428	5.21412353252052	0.855037677724092	0.552012966895989	0.958564499827366	0.000615433836857544	0.0121290930690478
K02519	K02519	-1.86466492226954	-0.507930843059767	-0.837654283024112	0.0931136077734952	0.0972096554891117	0.00925827721109169
K02864	K02864	6.48465533637828	0.898821354576357	0.671093030040649	0.971558872575826	0.000157276917992197	0.00485221641048919
K02867	K02867	6.86338547434633	0.90823302992975	0.698322545951152	0.974296067696614	0.000140983967870125	0.00746506843485763
K02874	K02874	8.54718808755221	0.937868339439629	0.788223316693668	0.982789338100534	7.87924513841867e-05	0.0149538018578209
K02876	K02876	6.30686579037624	0.893925171525825	0.657166427779964	0.970127189002971	0.000167298994060392	0.0075112328638972
K02881	K02881	6.33944766609197	0.894847222736718	0.659776794579435	0.9703972105244	0.000167298994060392	0.0164416507636505
K02886	K02886	4.6624506443829	0.827601783804993	0.483203440025721	0.950196275529225	0.00128301725539668	0.00998948185744037
K02890	K02890	7.0575788680304	0.912579999842673	0.711107547735992	0.975553744496215	0.000140983967870125	0.0161287841134809
K02906	K02906	5.89334874583702	0.881160706154793	0.621603908508896	0.966369631441561	0.000274350253892233	0.0106171901140961
K02926	K02926	2.36123472290622	0.598300197970106	0.0371570167891766	0.872585947513326	0.044852818903325	0.0123206284217238
K02931	K02931	6.99405970245266	0.911191160056718	0.707008254038841	0.975152369634483	0.000140983967870125	0.0140766331248658
K02933	K02933	8.03640020981944	0.930549567618099	0.765411058691624	0.980709341560823	8.14727944138494e-05	0.0159350199024822
K02946	K02946	5.7913275088978	0.877680673058859	0.612090467546904	0.965338840390623	0.000300021085270474	0.0143314214432491
K02948	K02948	9.38052068721755	0.947603878854773	0.819219605428175	0.985538639440443	5.12519339798289e-05	0.0102545710681622
K02950	K02950	6.54150608009297	0.900319307218966	0.675386126371296	0.97199582629618	0.000157023685449528	0.0458321491880389
K02952	K02952	6.44159926775041	0.897665514697831	0.667790826751136	0.971221374457478	0.000157276917992197	0.0117396440294317
K02956	K02956	6.8070905493096	0.906915171153745	0.694472831028	0.973913966062451	0.000140983967870125	0.0192431286005599
K02959	K02959	2.72639414203749	0.652979838363745	0.126473792673654	0.89244216035008	0.0274178414028231	0.0180546831613436
K02961	K02961	6.60552162000948	0.901968589692795	0.680130629991625	0.972476350450952	0.000157023685449528	0.0193586219549777
K02965	K02965	7.17088799735423	0.914981375372252	0.718227903383519	0.976246752482015	0.000140983967870125	0.00834216899880213
K02967	K02967	4.87687662914657	0.839047819269947	0.511402130571873	0.953709055992695	0.000967437507661798	0.0125165263153791
K02982	K02982	5.42059769312944	0.863760706201066	0.574790688635942	0.961188197910558	0.000479061377127919	0.0128854306543129
K02988	K02988	6.56453669990406	0.900917175720099	0.67710387048512	0.972170086637656	0.000157023685449528	0.0132102793638982
K02992	K02992	8.23287380485188	0.933505540268091	0.7745749921931	0.981550799279634	8.14727944138494e-05	0.00377179595766889
K02994	K02994	9.82798854719872	0.951935924538003	0.833257537686078	0.98675561522456	5.12519339798289e-05	-0.0048749155085242
K02996	K02996	6.98971535785937	0.911095020790142	0.706724996640786	0.975124569826521	0.000140983967870125	-0.00263082304820586
K03106	K03106	1.68005994347645	0.469176991454498	-0.143313396114654	0.821799654882042	0.123866243026182	-0.00131518673677692
K03470	K03470	6.94798382776196	0.910163883602739	0.703984951226739	0.974855216205213	0.000140983967870125	0.00173697941904616
K03596	K03596	-2.42622544315735	-0.608717915292488	-0.876440226226825	-0.0535095484606279	0.0428157233285987	0.00143118025628607
