Func_id	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
pfam09932	70	106	16	68	49	71	82	13	41	10	144	134
pfam09933	312	858	478	788	731	322	101	252	76	287	308	113
pfam09935	377	343	224	147	319	149	8	103	46	159	645	361
pfam09936	176	194	190	243	138	189	440	257	215	607	788	120
pfam09937	228	275	164	384	579	114	26	57	98	111	268	211
pfam09938	0	34	22	3	6	16	18	17	9	5	11	12
pfam09939	180	116	164	116	180	215	83	105	253	95	598	159
pfam09940	660	1049	707	830	746	801	241	661	653	843	2101	827
pfam09941	15	8	10	3	5	3	10	0	11	17	48	7
pfam09943	0	0	0	0	0	0	6	0	0	0	0	0
pfam09945	162	160	145	293	270	332	15	95	20	44	194	102
pfam09946	0	0	4	0	0	0	0	0	0	0	0	0
pfam09947	47	33	38	8	44	41	280	152	88	223	212	32
pfam09948	2711	1843	2610	1582	1605	1509	2846	1339	2878	1305	5575	2539
pfam09949	45	39	26	8	66	17	18	23	3	35	166	175
pfam09950	152	41	53	52	36	149	56	26	38	27	92	111
pfam09951	24	102	33	11	29	13	0	12	4	10	73	6
pfam09952	140	189	127	255	118	184	128	148	195	205	528	98
pfam09953	0	0	0	0	0	0	9	0	0	0	9	0
pfam09954	330	578	380	468	409	439	117	548	263	513	1710	270
pfam09955	539	670	735	829	967	687	858	1187	401	1370	1394	323
pfam09956	65	46	42	41	78	32	188	323	213	711	449	45
pfam09957	2056	1832	2057	2281	1066	1398	2714	2499	1815	1292	2833	516
pfam09958	0	0	0	0	0	0	3	0	0	0	0	0
pfam09959	0	0	0	0	0	0	0	0	0	0	0	0
pfam09960	0	0	0	0	0	0	5	0	0	0	0	0
pfam09961	0	0	0	0	0	0	0	0	0	0	0	0
pfam09962	101	50	34	9	15	43	5	26	23	16	256	25
pfam09963	0	0	0	0	0	0	11	0	0	0	0	0
pfam09964	0	0	0	0	0	0	0	0	0	0	0	0
pfam09965	284	230	175	175	257	116	36	128	48	79	528	122
pfam09966	47	114	35	6	69	107	18	15	28	77	217	524
pfam09967	802	291	380	427	280	304	997	270	461	307	901	324
pfam09968	0	0	0	0	0	0	11	6	0	0	0	0
pfam09969	1945	2136	2148	2010	1618	1709	5845	3467	4588	3023	6457	1433
pfam09970	562	568	740	502	514	616	309	485	870	520	1948	206
pfam09971	13	2	12	22	12	17	23	4	7	11	89	0
pfam09972	1959	1950	2921	1909	1169	1446	340	1645	930	1723	4242	1736
pfam09973	0	0	0	0	0	0	0	0	0	0	0	0
pfam09974	0	0	0	0	0	0	0	0	0	0	0	0
pfam09976	1233	1511	1527	1451	1834	1038	1242	1546	957	1517	2665	860
pfam09977	407	1052	648	854	683	760	986	772	971	802	1627	286
pfam09979	280	128	121	162	100	201	55	165	34	80	172	102
pfam09980	327	336	290	517	352	272	35	355	95	328	537	374
pfam09981	223	166	107	143	137	126	611	65	123	22	194	57
pfam09982	335	388	286	415	438	385	271	345	154	263	626	319
pfam09983	251	170	218	210	221	185	620	281	214	197	546	66
pfam09984	0	0	0	0	11	12	0	47	0	4	3	4
pfam09985	384	202	278	194	111	115	328	113	240	104	560	312
pfam09986	138	86	91	9	35	88	0	53	119	49	251	51
pfam09987	0	0	0	0	0	0	0	3	0	0	0	0
pfam09988	13	4	0	4	40	23	69	32	43	15	177	13
pfam09989	517	1343	1593	1215	822	1136	1510	2129	1503	1295	2055	534
pfam09990	1743	1267	2095	986	934	1179	1545	1664	2422	1626	7250	673
pfam09991	364	381	285	315	645	285	1241	912	920	652	1234	180
pfam09992	1613	1567	980	908	972	1080	4048	1277	2255	833	4643	1364
pfam09994	1016	1141	1212	1171	984	1007	857	601	309	437	2399	1133
pfam09995	2628	1817	1794	1660	1376	1177	4895	1050	2005	965	5042	1032
pfam09996	824	830	686	908	621	527	1514	485	453	408	1471	637
pfam09997	101	213	229	211	158	136	59	165	142	262	1146	565
pfam09998	346	320	140	437	360	244	27	287	41	95	372	129
pfam09999	0	0	0	0	0	0	7	0	4	0	45	0
pfam10000	59	34	18	79	84	105	48	117	20	54	105	56
pfam10001	19	14	35	27	0	16	5	0	0	0	10	16
pfam10002	18	20	9	12	0	9	57	34	16	10	112	0
pfam10003	505	1066	808	971	1015	633	1102	909	313	901	1471	349
pfam10004	9	29	3	32	42	48	13	4	12	7	20	6
pfam10005	911	1700	1390	1770	1368	1154	338	1109	722	491	3634	1362
pfam10006	450	173	293	244	174	610	9167	1528	2151	942	1863	187
pfam10007	0	0	0	8	0	0	74	0	0	0	0	0
pfam10008	51	45	36	53	89	75	41	28	33	43	125	10
pfam10009	4077	5943	5270	5356	4191	3802	2547	2260	1053	1434	4050	6762
