KO	Taxonomy
K02889	Archaea + Eukaryotes
K02866	Archaea + Eukaryotes
K02966	Archaea + Eukaryotes
K02936	Archaea + Eukaryotes
K02885	Archaea + Eukaryotes
K02877	Archaea + Eukaryotes
K02987	Archaea + Eukaryotes
K02995	Archaea + Eukaryotes
K02978	Archaea + Eukaryotes
K02930	Archaea + Eukaryotes
K02984	Archaea + Eukaryotes
K02991	Archaea + Eukaryotes
K02883	Archaea + Eukaryotes
K02929	Archaea + Eukaryotes
K02910	Archaea + Eukaryotes
K02979	Archaea + Eukaryotes
K02975	Archaea + Eukaryotes
K02977	Archaea + Eukaryotes
K02962	Archaea + Eukaryotes
K02976	Archaea + Eukaryotes
K02908	Archaea + Eukaryotes
K02912	Archaea + Eukaryotes
K02974	Archaea + Eukaryotes
K02921	Archaea + Eukaryotes
K02924	Archaea + Eukaryotes
K02927	Archaea + Eukaryotes
K02896	Archaea + Eukaryotes
K02983	Archaea + Eukaryotes
K02922	Archaea + Eukaryotes
K02868	Eukaryotes
K02875	Archaea + Eukaryotes
K02997	Eukaryotes
K02873	Archaea + Eukaryotes
K02870	Eukaryotes
K02973	Archaea + Eukaryotes
K02865	Eukaryotes
K02901	Eukaryotes
K02915	Archaea + Eukaryotes
K02917	Archaea + Eukaryotes
K02932	Eukaryotes
K02981	Eukaryotes
K02953	Eukaryotes
K02949	Eukaryotes
K02891	Eukaryotes
K02900	Eukaryotes
K02920	Eukaryotes
K02964	Eukaryotes
K02969	Eukaryotes
K02985	Eukaryotes
K02993	Eukaryotes
K02893	Eukaryotes
K02905	Eukaryotes
K02923	Eukaryotes
