COG %   * both	Pfam %   * both	Enzyme %   * both	KO %   * both	
C01	36.43	29.94	17.91	30.85
C03	35.46	29.33	17.15	29.56
C04	42.78	35.82	20.8	35.57
C05	36.26	30.07	17.7	30.63
C06	36.12	29.41	18.03	30.9
C07	36.65	30.12	18.17	31.32
C10	41.58	34.79	19.96	34.21
C12	40.9	35.11	18.66	32.43
C14	35.8	29.49	17.65	30.34
C15	40.89	33.95	20.01	34.44
C16	36.74	30.24	18.12	31.14
C17	40.97	34.95	19.14	33.04
