Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
EC:1.1.1.287	42	34	37	34	21	18	24	6	8	16	12	34
EC:1.1.1.288	9	15	8	9	9	2	2	3	2	2	9	15
EC:1.1.1.289	0	1	0	0	1	0	0	0	0	0	1	0
EC:1.1.1.29	375	569	547	479	403	434	82	94	126	143	224	603
EC:1.1.1.290	33	80	83	97	49	82	6	9	12	17	21	60
EC:1.1.1.298	15	12	8	18	27	9	11	13	8	5	10	5
EC:1.1.1.3	2531	3558	3907	3598	2509	2993	791	715	1085	1218	1498	4050
EC:1.1.1.30	842	1051	1218	1129	820	989	342	237	334	397	527	1126
EC:1.1.1.300	125	168	182	191	124	111	20	24	40	34	60	113
EC:1.1.1.302	53	66	73	84	35	71	5	9	17	25	41	94
EC:1.1.1.305	85	108	157	118	80	126	14	21	34	41	58	151
EC:1.1.1.306	272	318	318	277	192	236	99	61	102	109	133	305
EC:1.1.1.307	20	27	17	17	22	14	6	8	8	13	19	24
EC:1.1.1.308	320	477	435	409	262	307	153	86	97	135	173	415
EC:1.1.1.31	3190	4790	4717	4429	2996	3480	1231	720	1181	1343	2012	4264
EC:1.1.1.310	110	140	171	131	83	117	49	32	41	48	69	182
EC:1.1.1.311	10	11	11	8	9	5	3	1	2	3	7	9
EC:1.1.1.312	161	216	229	209	122	172	55	48	76	75	111	210
EC:1.1.1.313	1	8	7	3	3	4	1	1	2	2	4	6
EC:1.1.1.315	1	0	0	0	0	0	0	0	0	0	1	1
EC:1.1.1.316	393	576	507	434	340	390	126	105	144	153	250	506
EC:1.1.1.320	37	53	47	41	25	52	6	7	9	8	25	84
EC:1.1.1.325	7	7	14	5	4	11	1	2	2	5	4	6
EC:1.1.1.333	178	207	208	235	102	143	64	37	77	69	69	166
EC:1.1.1.335	160	269	301	257	169	272	34	39	62	78	146	369
EC:1.1.1.336	804	935	1217	991	564	784	208	161	317	284	523	848
EC:1.1.1.337	139	226	200	153	119	168	32	27	54	68	112	219
EC:1.1.1.338	176	215	212	182	138	170	43	36	51	63	106	264
EC:1.1.1.34	332	366	520	363	290	356	81	52	107	124	201	420
EC:1.1.1.340	4	7	4	8	3	4	1	0	1	3	1	9
EC:1.1.1.341	1	1	1	1	4	6	0	0	0	2	1	1
EC:1.1.1.342	3	2	2	4	4	1	0	0	1	0	1	1
EC:1.1.1.346	344	523	449	492	385	362	219	98	176	152	247	480
EC:1.1.1.35	4188	6080	6559	5951	4645	5362	1218	1181	1764	1982	2524	6285
EC:1.1.1.350	121	158	185	134	98	143	39	31	43	54	92	139
EC:1.1.1.359	11	10	14	16	8	14	6	4	3	10	7	13
EC:1.1.1.36	435	581	659	586	420	485	125	113	156	170	213	509
EC:1.1.1.368	61	30	91	58	16	53	1	6	6	13	18	75
EC:1.1.1.37	1065	1564	1749	1502	1141	1477	361	331	504	548	666	1739
EC:1.1.1.370	103	153	173	124	63	96	18	25	39	35	62	110
EC:1.1.1.371	191	238	283	267	126	189	57	39	68	73	86	180
EC:1.1.1.38	1342	1740	2119	2033	1284	1641	422	350	564	594	908	1717
EC:1.1.1.39	1	2	1	1	0	0	0	0	0	0	1	1
EC:1.1.1.40	1358	1989	2249	1934	1560	1803	398	354	544	700	771	2103
EC:1.1.1.41	815	911	1135	1004	736	819	209	183	296	296	387	1035
EC:1.1.1.42	1187	1673	1968	1687	1293	1709	450	452	549	720	743	1752
EC:1.1.1.43	40	49	64	57	24	37	8	11	19	11	22	49
EC:1.1.1.44	1671	2398	2626	2303	1613	2046	540	452	663	793	957	2374
EC:1.1.1.46	25	22	9	18	14	13	15	3	5	8	7	24
EC:1.1.1.47	1104	1473	1667	1364	1062	1267	442	296	481	536	741	1250
EC:1.1.1.48	109	154	119	141	110	118	61	35	46	68	68	146
EC:1.1.1.49	3871	5625	6291	5493	3928	4520	1228	928	1472	1560	2124	4933
EC:1.1.1.51	103	158	184	135	129	139	35	23	40	40	62	125
EC:1.1.1.53	812	1078	949	958	552	724	211	137	213	217	454	888
EC:1.1.1.56	83	100	97	83	61	68	31	23	22	24	25	89
EC:1.1.1.57	324	495	363	391	332	321	238	51	96	144	176	437
EC:1.1.1.58	150	222	227	193	209	224	77	52	67	83	124	386
EC:1.1.1.6	97	93	113	125	88	99	23	16	35	46	56	90
EC:1.1.1.60	1137	1459	1714	1444	927	1229	348	270	479	516	749	1528
EC:1.1.1.61	98	162	172	130	82	122	46	28	36	49	81	183
EC:1.1.1.65	171	344	270	275	225	227	82	53	67	70	121	219
EC:1.1.1.67	245	260	268	273	205	168	184	35	67	94	111	253
EC:1.1.1.69	1876	2632	2841	2430	1783	2039	611	479	651	733	1161	2555
EC:1.1.1.77	35	34	47	41	30	33	5	6	24	10	19	55
EC:1.1.1.79	352	519	517	398	338	407	116	90	123	200	218	558
EC:1.1.1.81	1154	1730	1915	1851	1215	1360	349	286	409	464	770	1738
EC:1.1.1.83	622	771	862	717	546	650	206	141	253	246	343	770
EC:1.1.1.85	1803	2387	2752	2191	1636	2047	563	434	733	888	1015	2751
EC:1.1.1.86	959	1256	1519	1168	839	985	309	245	409	462	469	1412
EC:1.1.1.87	73	49	53	43	63	35	13	13	24	19	30	38
EC:1.1.1.88	239	255	275	280	214	266	24	62	108	98	150	312
EC:1.1.1.9	61	70	73	71	68	58	34	20	25	26	24	45
EC:1.1.1.90	351	412	358	420	216	248	128	70	91	102	189	263
EC:1.1.1.91	1002	1462	1465	1282	971	1039	377	222	360	415	499	1170
EC:1.1.1.94	1860	2734	2846	2643	1922	2377	624	456	796	894	1294	2916
EC:1.1.1.95	5909	8263	8702	7433	5577	6745	1760	1498	2353	2602	3847	8713
EC:1.1.2.3	1278	1994	1945	1860	1361	1419	470	292	517	555	802	1796
EC:1.1.2.4	1155	1556	1646	1282	1131	1305	445	305	505	521	702	1699
EC:1.1.2.6	2156	4150	4479	4465	2470	3056	306	431	736	700	1343	2995
EC:1.1.2.7	42	72	69	73	45	52	18	7	18	25	38	73
EC:1.1.2.8	5433	10433	10337	10435	6839	8093	1617	1374	2351	2434	4076	8956
EC:1.1.3.-	611	862	990	836	565	687	133	155	202	239	354	885
EC:1.1.3.15	3662	5381	5545	4970	3492	4383	1087	908	1509	1650	2324	5638
EC:1.1.3.17	21	20	15	14	24	18	4	5	12	12	10	15
