Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
EC:1.14.12.15	77	107	100	84	64	87	20	6	12	24	33	71
EC:1.14.12.17	217	306	284	251	219	208	121	50	66	94	152	602
EC:1.14.12.18	92	154	137	125	59	104	35	24	52	40	92	127
EC:1.14.12.19	277	382	377	334	157	295	73	70	120	95	218	272
EC:1.14.12.21	436	631	726	505	359	425	96	98	152	193	207	594
EC:1.14.12.22	104	183	162	123	82	154	31	39	59	38	154	145
EC:1.14.12.4	30	45	27	38	37	36	20	15	6	15	10	33
EC:1.14.12.7	275	617	531	504	332	499	132	106	174	147	308	350
EC:1.14.13.-	1591	2315	2197	2162	1707	1820	540	401	508	728	975	1954
EC:1.14.13.1	1115	1462	1351	1448	1002	1211	435	246	375	461	679	1384
EC:1.14.13.100	3	4	3	4	5	3	1	2	0	0	3	3
EC:1.14.13.106	17	19	13	23	17	12	6	3	13	6	14	21
EC:1.14.13.107	557	839	742	649	491	547	182	131	198	190	353	717
EC:1.14.13.111	62	105	75	60	52	60	20	26	42	36	52	72
EC:1.14.13.113	67	81	76	68	54	59	42	13	27	26	65	74
EC:1.14.13.114	75	155	143	156	111	132	34	21	26	49	52	108
EC:1.14.13.12	8	6	6	4	7	11	1	0	1	0	4	8
EC:1.14.13.127	1589	1844	1945	1576	1515	1451	638	414	598	699	1025	1761
EC:1.14.13.129	29	27	30	27	33	25	33	11	7	26	18	63
EC:1.14.13.132	86	81	75	61	65	64	16	12	10	13	47	87
EC:1.14.13.133	192	174	158	157	173	125	61	42	64	67	121	141
EC:1.14.13.141	672	844	819	839	529	618	190	163	236	287	309	850
EC:1.14.13.142	238	343	345	294	258	234	44	54	77	123	172	253
EC:1.14.13.148	17	41	36	22	48	19	14	4	4	15	24	38
EC:1.14.13.149	692	736	993	724	618	698	283	164	334	347	477	1018
EC:1.14.13.151	98	90	62	77	41	51	10	8	11	20	26	49
EC:1.14.13.154	16	14	17	8	11	13	8	1	5	6	13	19
EC:1.14.13.163	40	103	54	87	65	49	14	9	12	17	33	45
EC:1.14.13.168	1	0	1	0	0	0	1	0	0	0	0	1
EC:1.14.13.170	17	63	47	40	25	29	0	12	11	11	11	24
EC:1.14.13.172	113	148	150	141	71	110	31	23	34	32	53	133
EC:1.14.13.182	4	1	1	3	3	5	0	3	2	0	0	8
EC:1.14.13.188	6	9	3	7	3	2	0	1	0	1	4	2
EC:1.14.13.2	596	890	874	768	631	707	273	139	243	284	333	850
EC:1.14.13.20	376	312	336	348	227	228	121	57	80	120	134	417
EC:1.14.13.22	1543	2410	2239	2045	1591	1493	514	296	456	603	872	1920
EC:1.14.13.25	55	53	47	51	19	41	10	9	17	18	35	37
EC:1.14.13.39	127	102	137	97	64	81	41	30	36	25	66	91
EC:1.14.13.40	848	948	1227	837	763	797	235	197	359	387	396	1106
EC:1.14.13.50	66	93	111	68	88	49	24	19	35	29	52	97
EC:1.14.13.59	109	70	86	98	56	66	23	11	18	26	53	69
EC:1.14.13.7	182	218	203	158	180	105	154	32	49	88	85	214
EC:1.14.13.70	206	223	209	195	192	206	44	41	71	79	113	186
EC:1.14.13.72	16	20	26	21	27	21	3	6	7	5	20	17
EC:1.14.13.8	41	42	37	38	38	54	6	16	12	10	22	45
EC:1.14.13.81	414	633	736	608	473	509	124	149	185	233	298	943
EC:1.14.13.82	1149	1664	1518	1548	1062	1308	472	288	350	466	718	1250
EC:1.14.13.83	274	363	318	365	243	257	116	55	84	114	167	270
EC:1.14.13.84	771	1195	940	897	762	638	199	142	160	231	415	741
EC:1.14.13.9	301	465	456	426	329	429	59	82	118	145	252	535
EC:1.14.13.92	5	10	14	15	12	10	4	3	3	4	9	14
EC:1.14.14.-	478	510	558	582	357	352	113	95	157	128	259	804
EC:1.14.14.1	1037	1237	1118	955	958	811	310	288	307	416	693	1105
EC:1.14.14.11	5	7	3	5	1	1	0	1	0	1	5	11
EC:1.14.14.12	834	1135	1130	1212	711	917	292	206	334	374	580	925
EC:1.14.14.3	8	6	7	7	2	8	1	1	1	1	4	8
EC:1.14.14.5	1437	2186	1869	1787	1635	1463	751	396	491	597	862	1852
EC:1.14.14.7	989	1083	1056	833	731	811	386	177	336	429	426	993
EC:1.14.14.8	48	50	50	41	37	52	17	15	22	20	49	46
EC:1.14.14.9	1115	1569	1695	1392	906	1260	384	324	550	493	817	1260
EC:1.14.15.11	48	57	43	40	32	52	14	7	8	21	42	60
EC:1.14.15.12	154	170	202	163	111	131	31	33	47	50	94	152
EC:1.14.15.13	159	181	155	169	130	110	60	36	53	56	99	189
EC:1.14.15.3	175	243	252	199	172	170	48	44	73	119	142	324
EC:1.14.15.7	129	149	185	123	105	155	37	31	42	68	64	245
EC:1.14.15.9	15	7	10	7	8	7	3	2	6	4	7	16
EC:1.14.16.1	556	869	855	844	613	774	192	154	226	255	384	865
EC:1.14.17.3	95	154	143	133	90	107	8	23	39	41	73	166
EC:1.14.18.1	369	440	538	467	310	340	82	67	104	98	225	751
EC:1.14.18.2	5	19	15	11	16	12	1	0	2	2	11	15
EC:1.14.18.3	29	24	32	17	13	15	11	4	4	5	4	26
EC:1.14.19.-	755	1181	1083	1028	772	843	156	144	224	252	444	1082
EC:1.14.19.1	1985	2920	3024	2651	2003	2293	489	506	808	884	1211	2843
EC:1.14.19.2	284	363	399	343	245	284	95	59	111	127	224	525
EC:1.14.19.3	480	697	647	567	465	558	129	107	169	277	350	1086
EC:1.14.19.8	81	36	79	41	29	31	16	16	24	16	40	34
EC:1.14.20.1	1	0	0	2	0	0	0	0	0	0	1	0
EC:1.14.21.6	125	217	193	174	191	184	5	19	28	60	70	349
EC:1.14.21.7	9	19	13	23	11	6	4	2	7	7	10	21
EC:1.14.21.9	8	0	2	4	3	1	2	1	0	3	5	1
EC:1.14.99.-	96	156	169	114	86	107	25	15	31	28	80	187
EC:1.14.99.1	63	74	69	59	47	46	28	9	19	11	29	131
EC:1.14.99.29	9	13	30	11	8	13	1	5	4	9	6	10
EC:1.14.99.3	18	30	26	16	43	12	18	5	6	17	11	31
EC:1.14.99.33	6	6	2	4	12	0	5	1	0	0	4	1
EC:1.14.99.36	2	4	0	3	4	1	0	3	0	1	3	3
EC:1.14.99.40	412	546	565	531	386	409	104	88	134	136	170	205
EC:1.14.99.44	39	40	32	40	49	44	46	20	15	19	24	10
EC:1.14.99.46	194	377	265	268	258	211	64	53	57	94	140	177
EC:1.14.99.48	16	7	12	6	3	7	7	5	5	6	11	7
EC:1.15.1.1	1396	2040	2265	1936	1388	1936	365	424	536	729	968	2833
EC:1.15.1.2	7	12	13	7	14	10	1	6	4	5	9	24
EC:1.16.1.1	3045	3916	4478	3766	2611	3064	838	705	911	1009	1495	3259
EC:1.16.1.3	1	4	1	3	2	6	0	2	1	2	5	3
EC:1.16.1.9	2	1	0	1	1	2	1	0	0	1	0	2
EC:1.16.3.1	46	78	76	64	42	57	15	12	14	30	32	197
EC:1.16.8.1	3	14	6	10	6	8	4	1	2	4	5	19
EC:1.17.1.1	350	484	546	460	352	440	90	84	91	157	225	479
EC:1.17.1.2	1778	2612	2734	2324	1702	2104	649	531	848	882	1096	2531
EC:1.17.1.4	6897	9629	10114	8496	7061	7453	3210	1872	2948	3282	4727	9235
EC:1.17.1.7	399	555	605	552	468	508	156	113	139	278	299	697
EC:1.17.1.8	1834	2931	3039	2737	1949	2344	574	448	762	834	1267	3288
EC:1.17.2.1	782	1420	1558	1441	879	1174	228	176	342	333	488	1260
EC:1.17.4.1	5244	6906	8265	7340	5098	7322	1765	1551	2277	2582	3848	5744
EC:1.17.4.2	142	117	179	193	80	222	39	26	40	55	115	166
EC:1.17.5.1	44	33	65	35	7	24	10	7	9	22	17	58
EC:1.17.7.1	1011	1444	1620	1329	1057	1250	336	306	473	532	603	1635
EC:1.17.7.2	0	0	0	0	0	0	2	0	0	0	0	0
EC:1.17.99.1	274	447	431	539	288	355	106	78	129	111	228	352
EC:1.17.99.2	4	2	1	1	0	0	1	4	0	3	0	0
EC:1.18.1.-	259	250	311	230	152	186	127	43	71	84	141	258
EC:1.18.1.1	44	91	85	96	54	83	12	13	10	9	31	63
EC:1.18.1.2	976	1136	1404	1153	777	934	318	224	386	514	592	1340
EC:1.18.1.3	1860	2693	2910	2310	1707	1991	666	416	718	732	1151	2266
EC:1.18.1.7	8	12	11	9	4	3	2	2	0	2	7	18
EC:1.18.6.1	56	31	51	47	33	38	9	20	22	34	21	25
EC:1.2.-	216	266	302	213	147	187	52	60	69	69	183	232
EC:1.2.1.-	934	1002	1152	1101	826	849	251	209	275	285	440	786
EC:1.2.1.10	253	397	410	362	245	316	86	59	96	103	153	479
EC:1.2.1.11	1815	2658	3110	2893	1933	2392	567	511	860	851	1096	2760
EC:1.2.1.12	1404	1786	2267	1809	1402	1999	393	404	562	667	917	2094
EC:1.2.1.16	3434	4540	4977	4728	3265	3791	1248	863	1459	1560	1964	4535
EC:1.2.1.18	1464	2004	2158	2065	1377	1746	467	397	585	634	754	1966
EC:1.2.1.19	130	138	121	114	104	100	19	11	22	41	33	158
EC:1.2.1.2	4557	5649	6551	5576	3958	4952	1502	1233	1894	2041	2552	5770
EC:1.2.1.21	136	214	182	199	129	150	35	35	38	42	65	132
EC:1.2.1.26	16	10	9	9	3	6	3	3	1	4	0	5
EC:1.2.1.28	313	357	341	350	234	193	114	50	90	78	155	282
EC:1.2.1.3	6228	8907	9024	8357	5891	6851	2068	1403	2202	2535	3486	8406
EC:1.2.1.32	315	407	402	396	301	359	74	86	98	150	246	563
EC:1.2.1.38	1681	2494	2608	2422	1694	2023	631	476	759	818	1091	2611
EC:1.2.1.39	767	949	955	953	588	746	206	165	206	263	318	695
EC:1.2.1.4	813	1094	1089	994	711	894	370	142	256	380	419	1248
EC:1.2.1.41	1313	2034	1960	1730	1354	1590	452	374	617	658	837	1917
EC:1.2.1.43	166	168	268	161	115	184	35	61	74	75	133	245
EC:1.2.1.44	0	0	0	0	0	0	0	0	0	0	1	0
EC:1.2.1.46	497	549	566	512	497	505	297	124	231	228	308	301
EC:1.2.1.5	284	275	348	294	186	238	78	100	123	94	133	279
EC:1.2.1.50	7	16	11	8	2	8	2	5	2	3	4	12
EC:1.2.1.58	20	2	10	12	5	5	1	3	1	2	5	8
EC:1.2.1.59	66	64	117	86	34	52	6	10	21	32	52	133
EC:1.2.1.60	231	346	372	328	223	261	125	63	107	111	118	247
EC:1.2.1.65	2	0	3	1	2	0	0	0	0	1	0	6
EC:1.2.1.68	318	453	466	439	299	328	117	70	108	125	153	426
EC:1.2.1.70	1962	2857	3077	2689	1796	2328	639	558	864	981	1297	2955
EC:1.2.1.71	176	269	239	223	199	257	56	49	91	111	153	327
EC:1.2.1.72	6	2	9	3	2	8	0	1	4	1	1	6
EC:1.2.1.75	0	0	2	0	0	2	0	0	0	0	0	0
EC:1.2.1.76	17	39	73	46	21	40	11	11	17	13	24	62
EC:1.2.1.77	43	52	112	81	32	55	6	7	5	16	21	67
EC:1.2.1.78	10	27	38	25	23	11	7	4	8	7	24	15
EC:1.2.1.8	2085	2792	2917	2771	1600	1902	557	441	602	797	1011	2594
EC:1.2.1.80	15	27	49	39	13	16	6	0	0	2	4	31
EC:1.2.1.81	40	60	53	41	38	53	14	13	22	29	33	72
EC:1.2.1.87	131	152	160	133	119	144	9	36	83	65	89	145
EC:1.2.1.88	2929	4545	4888	4458	3307	3976	1076	781	1245	1376	1859	4739
EC:1.2.1.89	3	6	11	14	0	6	2	1	1	0	0	1
EC:1.2.1.9	432	618	625	535	401	534	72	122	169	194	302	542
EC:1.2.3.3	311	435	458	355	450	491	198	155	315	326	414	241
EC:1.2.4.1	8059	10448	11916	10118	7068	9279	2186	2077	3011	3341	4610	9411
EC:1.2.4.2	3647	5231	5494	4817	3967	4495	1165	1096	1572	1726	2416	5418
EC:1.2.4.4	4061	5368	6056	5010	3815	4678	1029	1110	1562	1773	2386	5602
EC:1.2.5.1	1806	2736	2452	2411	1974	1939	854	542	849	909	1083	1188
EC:1.2.7.-	1523	1884	2412	1904	1513	1912	246	523	587	806	857	2808
EC:1.2.7.1	552	483	752	563	442	623	211	182	285	394	416	725
EC:1.2.7.3	3473	4744	5761	4620	3294	4176	837	1039	1511	1630	2087	5057
EC:1.2.7.4	20	23	53	33	26	29	12	7	9	9	24	12
EC:1.2.7.5	377	396	576	304	272	339	55	118	189	188	352	795
EC:1.2.7.6	1	0	0	1	0	2	0	0	5	1	1	7
EC:1.2.7.7	247	245	362	363	234	273	28	48	101	121	136	246
EC:1.2.7.8	2291	3299	3172	2811	2276	2458	808	522	722	915	1239	2489
EC:1.2.99.2	12151	14334	18047	13266	9559	13027	4132	2991	5143	5024	7364	15322
EC:1.2.99.4	6	8	7	5	2	3	3	1	5	9	2	16
EC:1.2.99.5	787	1128	1212	1112	851	916	230	180	358	360	531	1369
EC:1.2.99.7	48	28	52	32	26	30	4	8	5	7	19	24
EC:1.2.99.8	5	15	18	9	13	15	1	3	4	6	2	7
EC:1.20.4.1	1411	1962	2141	2096	1499	1634	373	320	479	600	918	2217
EC:1.20.9.1	110	133	196	162	72	77	15	15	12	30	59	124
EC:1.21.3.1	0	6	1	4	3	1	0	0	1	1	7	3
EC:1.21.4.1	149	110	209	166	90	115	21	29	58	34	86	122
EC:1.21.4.2	123	135	170	84	83	157	57	80	118	57	248	393
EC:1.21.4.4	69	66	80	44	31	52	15	20	45	35	68	128
EC:1.21.99.2	505	647	810	693	510	625	162	140	213	266	300	850
EC:1.3.1.-	812	997	1236	1008	745	850	198	179	254	340	452	1111
EC:1.3.1.1	370	567	568	526	404	463	100	100	156	178	190	581
EC:1.3.1.10	1314	1731	2029	1692	1339	1532	423	370	564	640	743	1929
EC:1.3.1.101	179	179	276	227	126	160	36	46	77	67	105	152
EC:1.3.1.104	232	245	313	267	183	208	68	38	67	84	109	394
EC:1.3.1.106	267	308	284	264	237	193	87	58	63	93	148	190
EC:1.3.1.12	1468	2168	2292	2091	1383	1677	530	362	657	668	1009	2264
EC:1.3.1.13	18	37	31	13	21	13	8	1	5	2	15	4
EC:1.3.1.14	930	1363	1472	1366	871	1165	321	247	394	407	599	1389
EC:1.3.1.19	1	0	0	0	0	0	0	0	1	0	0	0
EC:1.3.1.2	12	20	19	13	6	20	0	2	3	6	13	32
EC:1.3.1.21	60	125	94	93	88	115	11	34	16	40	69	67
EC:1.3.1.22	37	56	78	48	64	63	5	18	12	23	49	57
EC:1.3.1.24	6	6	13	6	8	14	1	2	1	5	5	6
EC:1.3.1.28	175	218	201	177	127	148	57	31	56	70	95	164
EC:1.3.1.29	0	0	1	0	2	1	0	0	0	0	0	0
EC:1.3.1.31	41	55	86	58	39	45	8	9	5	17	20	30
EC:1.3.1.32	455	605	603	553	326	421	106	75	120	125	232	685
EC:1.3.1.33	104	97	113	116	87	73	43	30	33	36	48	88
EC:1.3.1.34	1075	1507	1519	1342	1007	1175	385	266	380	453	756	1669
EC:1.3.1.38	10	10	16	10	14	9	2	0	8	2	7	8
EC:1.3.1.45	513	717	758	547	446	541	153	111	241	245	352	968
EC:1.3.1.49	10	13	11	7	10	7	7	2	3	1	4	8
EC:1.3.1.53	1	1	2	4	5	4	1	0	1	0	1	2
EC:1.3.1.56	52	43	68	47	41	38	13	14	15	11	18	41
EC:1.3.1.58	28	26	26	40	22	23	18	5	5	9	14	30
EC:1.3.1.62	29	49	49	18	41	38	7	8	9	11	20	28
EC:1.3.1.64	335	553	480	426	264	433	124	101	225	179	409	409
EC:1.3.1.70	85	96	113	85	89	94	10	26	21	25	64	100
EC:1.3.1.71	6	13	13	10	15	7	9	6	6	7	11	4
EC:1.3.1.72	29	32	33	39	38	34	9	11	13	7	24	19
EC:1.3.1.74	430	469	563	457	350	495	101	118	152	178	386	636
EC:1.3.1.76	1151	1726	1737	1586	1106	1333	471	315	487	505	753	1630
EC:1.3.1.78	13	21	30	13	9	11	3	0	3	5	6	18
EC:1.3.1.83	58	121	124	118	152	68	64	39	26	37	42	105
EC:1.3.1.84	49	60	95	53	58	61	18	21	20	7	26	71
EC:1.3.1.85	184	198	271	163	121	165	41	52	54	83	85	255
EC:1.3.1.86	103	83	93	115	48	68	26	20	27	32	47	143
EC:1.3.1.87	62	61	64	49	35	29	21	13	29	25	35	72
EC:1.3.1.9	3	5	8	2	6	6	1	2	6	2	2	11
EC:1.3.1.98	1817	2523	2967	2568	1884	2391	631	466	798	847	1249	2776
EC:1.3.3.11	763	1029	1193	1045	619	774	131	166	242	274	427	868
EC:1.3.3.3	391	669	655	675	553	586	133	128	187	228	260	631
EC:1.3.3.4	1774	2565	2618	2703	1658	2016	549	404	707	738	1288	2782
EC:1.3.3.5	98	77	111	81	79	106	16	17	31	52	90	346
EC:1.3.3.6	218	197	177	150	169	185	145	43	119	150	195	258
EC:1.3.5.1	3036	4060	4944	4065	2991	3888	916	908	1284	1519	1669	4638
EC:1.3.5.2	971	1391	1431	1251	997	1225	322	288	400	436	671	1423
EC:1.3.5.3	321	234	396	203	227	294	56	73	96	125	254	529
EC:1.3.5.4	814	1224	1313	1079	805	985	274	207	342	332	650	1562
EC:1.3.5.5	77	34	62	28	41	52	20	14	24	27	31	80
EC:1.3.5.6	553	849	899	835	555	633	179	131	242	211	288	603
EC:1.3.7.2	0	0	0	0	1	0	0	0	0	2	0	1
EC:1.3.7.3	0	0	1	0	2	0	0	1	0	1	0	1
EC:1.3.7.5	3	0	0	1	0	1	4	0	1	3	1	2
EC:1.3.7.7	86	153	106	119	313	87	136	66	30	80	31	59
EC:1.3.7.8	337	115	390	236	133	210	35	29	60	64	96	283
EC:1.3.7.9	776	784	1337	942	540	796	94	165	306	279	410	1181
EC:1.3.8.1	1986	2764	2988	2491	1816	2296	648	532	797	985	1146	2541
EC:1.3.8.2	1	4	0	4	2	2	0	2	3	2	4	3
EC:1.3.8.3	2	5	12	5	2	8	1	0	1	0	1	15
EC:1.3.8.4	441	600	633	644	462	557	141	105	169	224	240	493
EC:1.3.8.6	1172	1485	1659	1498	1169	1340	363	297	533	526	568	1601
EC:1.3.8.7	7621	9481	9926	8794	6092	7339	2180	1707	2577	3040	3947	9156
EC:1.3.8.8	137	196	142	140	98	119	55	33	51	75	70	153
EC:1.3.8.9	23	29	25	22	26	15	2	8	11	11	32	68
EC:1.3.98.1	578	652	882	760	525	658	100	179	209	238	376	1105
EC:1.3.99.-	1132	1616	1716	1664	1156	1548	316	354	491	569	732	1590
EC:1.3.99.12	92	145	153	136	105	133	41	24	47	49	73	154
EC:1.3.99.16	5700	8933	9463	8911	5733	7062	1366	1208	2163	2519	3097	9069
EC:1.3.99.22	2988	4255	4472	4068	3099	3767	790	843	1157	1364	1996	4746
EC:1.3.99.23	147	286	330	314	185	256	12	32	55	70	133	275
EC:1.3.99.26	793	737	688	509	959	608	583	339	452	527	530	858
EC:1.3.99.27	82	80	66	61	156	58	74	48	27	44	38	59
EC:1.3.99.32	143	155	246	136	114	182	35	42	82	51	91	313
EC:1.3.99.33	13	26	31	10	17	21	3	2	8	6	12	13
EC:1.3.99.35	88	141	107	115	214	87	109	61	26	66	13	38
EC:1.3.99.4	733	1415	1253	1036	902	908	148	130	225	249	463	755
EC:1.3.99.5	182	288	253	308	201	232	44	35	62	67	153	155
EC:1.3.99.8	596	732	1020	853	489	662	270	200	281	321	333	642
EC:1.4.1.1	1109	1672	1721	1539	1212	1388	355	264	472	542	719	1792
EC:1.4.1.11	217	215	261	215	188	216	70	77	108	84	117	216
EC:1.4.1.13	4957	6559	7143	6184	4800	5418	1788	1362	2074	2364	2585	6149
EC:1.4.1.16	5	6	7	5	2	7	5	0	2	2	7	1
EC:1.4.1.2	2181	3407	3461	3382	2425	3032	831	625	1022	1093	1446	3403
EC:1.4.1.20	3	2	6	5	3	6	5	0	2	3	4	3
EC:1.4.1.21	261	417	424	324	243	375	85	84	104	115	212	359
EC:1.4.1.23	65	82	80	49	46	53	23	14	36	38	49	121
EC:1.4.1.24	19	35	31	53	13	22	2	5	5	9	18	18
EC:1.4.1.3	1383	1872	2150	1756	1295	1751	366	370	641	666	920	2213
EC:1.4.1.4	190	230	299	226	213	264	68	51	103	101	140	323
EC:1.4.1.9	536	671	840	736	569	717	159	132	223	237	392	807
EC:1.4.2.-	33	37	33	35	20	25	11	6	7	15	18	54
EC:1.4.3.-	481	580	612	525	440	512	91	114	127	184	233	594
EC:1.4.3.10	25	34	28	19	28	19	13	2	11	14	10	78
EC:1.4.3.16	1825	2636	2779	2521	1717	2185	646	509	821	930	1202	2854
EC:1.4.3.19	1455	1848	2067	1970	1363	1543	481	347	690	560	1101	1632
EC:1.4.3.20	39	55	49	56	26	38	4	3	8	2	9	56
EC:1.4.3.21	1064	1258	1308	1189	879	878	308	247	339	334	569	1391
EC:1.4.3.3	230	225	205	200	179	183	68	35	81	85	145	311
EC:1.4.3.4	2376	3584	3796	3317	2445	2767	885	591	1026	1132	1775	4377
EC:1.4.3.5	783	1203	1163	1011	803	879	363	192	338	413	561	1435
EC:1.4.4.2	3277	4867	5404	4724	3513	4195	1146	944	1440	1677	2082	5038
EC:1.4.7.1	942	1282	1449	1101	864	1047	194	255	333	399	549	1654
EC:1.4.9.1	530	692	672	768	521	569	65	118	100	122	183	459
EC:1.4.99.1	1547	2346	2266	1950	1605	1856	567	385	484	652	1034	2269
EC:1.4.99.5	31	15	23	26	11	23	0	7	9	9	21	23
EC:1.5.-	1060	1575	1836	1459	1067	1386	442	264	423	490	697	1778
EC:1.5.1.-	410	581	652	577	408	445	162	106	190	182	276	478
EC:1.5.1.10	51	112	103	102	114	114	35	39	25	50	72	195
EC:1.5.1.15	7	10	11	6	11	8	0	1	5	3	3	3
EC:1.5.1.2	1348	2167	2089	2002	1410	1789	500	366	604	674	996	2088
EC:1.5.1.20	1414	1973	2090	2063	1445	1675	457	375	586	650	893	2144
EC:1.5.1.21	52	68	79	63	55	76	5	15	6	21	33	56
EC:1.5.1.24	0	0	1	0	0	2	0	0	0	1	0	0
EC:1.5.1.25	142	201	237	247	169	176	36	22	55	48	68	217
EC:1.5.1.28	71	87	70	49	55	90	37	24	34	27	60	96
EC:1.5.1.3	470	795	841	823	599	741	157	143	212	246	424	980
EC:1.5.1.33	432	755	723	697	510	579	78	111	162	195	267	706
EC:1.5.1.36	37	75	53	49	44	46	22	10	7	15	19	31
EC:1.5.1.38	378	591	518	451	363	359	182	91	132	160	271	532
EC:1.5.1.43	3	7	0	0	1	2	1	0	1	1	4	4
EC:1.5.1.45	1	0	3	0	0	1	3	2	2	1	1	0
EC:1.5.1.47	3	12	8	8	2	13	3	2	2	6	8	9
EC:1.5.1.5	1861	2602	2893	2534	1813	2337	645	472	780	860	1260	2485
EC:1.5.1.7	269	341	363	369	251	273	74	65	79	106	175	415
EC:1.5.1.8	2	10	10	12	9	16	1	9	2	1	12	21
EC:1.5.1.9	62	58	74	62	58	51	26	25	23	36	39	68
EC:1.5.3.-	58	88	91	77	54	74	13	12	23	17	48	94
EC:1.5.3.1	5579	7101	8132	6902	4964	5943	1524	1233	1992	2069	3145	7682
EC:1.5.5.-	252	287	457	349	175	286	67	64	121	81	162	258
EC:1.5.5.1	883	1555	1607	1553	1082	1342	270	287	432	476	558	1509
EC:1.5.8.1	475	593	635	504	360	484	92	116	102	116	222	404
EC:1.5.8.3	359	534	574	442	380	482	80	93	79	181	215	910
EC:1.5.8.4	724	1074	1005	903	802	821	162	229	193	317	308	967
EC:1.5.98.2	1340	1633	1879	1361	973	1321	331	321	541	450	1033	1827
EC:1.5.99.12	8	12	18	16	7	15	1	0	1	1	9	24
EC:1.5.99.13	0	1	0	1	0	0	0	0	0	0	0	1
EC:1.5.99.6	955	1543	1616	1498	1040	1074	143	190	297	335	398	1034
EC:1.6.-	449	477	621	564	355	477	116	101	141	175	281	715
EC:1.6.1.1	940	1518	1528	1461	931	1105	218	197	322	385	537	1628
EC:1.6.1.2	2444	3560	3844	3508	2436	3082	804	636	1071	1268	1353	3479
EC:1.6.2.2	3	3	6	3	5	6	0	0	1	1	2	3
EC:1.6.3.3	13	6	10	11	4	6	1	0	2	0	3	10
EC:1.6.3.4	0	1	0	0	0	1	0	0	0	0	1	0
EC:1.6.5.-	113	139	138	131	109	134	22	19	28	61	113	110
EC:1.6.5.2	171	217	218	193	184	198	40	40	40	67	123	182
EC:1.6.5.3	24910	33601	38253	32973	24035	30420	7211	7310	11290	12608	15674	38433
EC:1.6.5.5	6334	8955	8952	8145	5655	6418	2147	1407	2238	2493	3640	8303
EC:1.6.99.1	179	262	279	256	193	189	75	54	74	91	108	212
EC:1.6.99.3	5179	7190	7915	6802	4619	5629	1615	1199	2090	2178	3324	7822
EC:1.6.99.5	870	973	1260	1142	841	994	267	249	294	278	473	1130
EC:1.7.-	504	702	642	687	450	474	183	97	100	161	238	553
EC:1.7.1.13	423	680	710	684	483	576	132	137	229	210	281	620
EC:1.7.1.15	1906	2298	2690	2268	1808	2113	614	483	719	769	1160	2493
EC:1.7.1.6	5	6	10	8	12	12	5	0	5	3	5	16
EC:1.7.1.7	61	129	123	140	81	131	24	24	17	22	39	72
EC:1.7.2.1	639	493	870	550	400	662	142	198	299	304	462	1175
EC:1.7.2.2	51	82	121	33	44	61	3	14	20	40	67	319
EC:1.7.2.3	123	189	186	164	109	142	18	33	32	38	61	140
EC:1.7.2.4	175	115	228	108	117	201	53	68	95	139	152	592
EC:1.7.2.5	492	548	936	647	459	897	193	216	310	352	527	1212
EC:1.7.2.6	1	2	0	0	0	1	2	0	1	1	3	12
EC:1.7.3.3	422	510	568	489	352	351	143	89	128	137	211	575
EC:1.7.7.1	720	830	1040	867	600	713	236	186	321	313	401	896
EC:1.7.7.2	220	178	244	152	149	198	56	46	61	87	127	407
EC:1.7.99.1	29	40	42	39	41	44	9	13	20	21	48	22
EC:1.7.99.4	2444	2525	3565	2514	1932	2609	848	703	1152	1246	1592	3938
EC:1.8.-	3694	4785	5639	4638	3016	3850	1161	929	1439	1531	2288	5355
EC:1.8.1.14	2	2	5	1	0	2	1	1	0	0	1	2
