Func_id	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
KO:K00001	10398	14041	14782	14305	9899	10309	9677	6374	6625	6740	15418	12108
KO:K00002	160	225	117	190	221	139	54	71	29	50	171	103
KO:K00003	8951	11620	12442	11891	8136	9368	11380	7877	8279	6118	15623	10226
KO:K00004	2418	2553	2616	2626	1769	1872	2750	1064	1829	1220	3645	2021
KO:K00005	170	264	267	440	190	181	60	168	152	183	321	136
KO:K00007	97	103	98	99	92	69	38	4	2	14	44	131
KO:K00008	13046	14883	16708	15505	10553	11325	23026	14303	14948	10013	22226	11097
KO:K00009	193	225	149	132	147	170	206	58	84	64	147	142
KO:K00010	6658	7282	8361	6936	5424	5857	6664	4949	5460	3933	9729	8183
KO:K00011	456	1053	534	878	604	522	129	129	87	164	563	607
KO:K00012	14286	17660	19213	18370	12000	14483	13701	11070	10396	8938	23632	16280
KO:K00013	8169	10563	10186	10487	7979	8233	14397	7637	8736	6779	15418	9383
KO:K00014	6178	8112	7325	7259	5858	6400	10681	4671	5649	4547	12229	8510
KO:K00015	6495	7376	8249	7152	5988	6636	9171	6303	6822	5030	11871	6881
KO:K00016	1254	1744	1795	1283	1368	1345	764	467	824	623	2229	2020
KO:K00018	1085	1509	1157	1419	1206	1091	4081	1198	1688	1188	2054	1393
KO:K00019	3745	4506	4519	4339	3750	3744	5267	2939	2597	3752	5989	4266
KO:K00020	14557	20964	18756	20323	14414	14743	19777	10799	10167	9844	26360	14543
KO:K00021	1028	1322	1616	879	979	1047	967	481	940	544	2345	1759
KO:K00023	2830	3473	3737	3657	2890	2938	2997	1575	1336	1995	4005	3110
KO:K00024	7662	10528	10188	10088	7434	8116	13003	6778	7978	6241	15277	10903
KO:K00027	6298	7497	7677	7775	4705	5735	9011	2165	4892	2899	9995	6824
KO:K00028	1	2	1	1	0	0	0	0	0	0	1	0
