 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,0.388,0,0,0,0,2.588,1.027,0.481,157.763,0.727,100,2.137,0.468,0.894
2,0.775,0,0,0,0,4.188,1.802,0.548,170.580,0.556,100,3.289,0.304,0.866
3,0.362,0,0,0,0,2.192,0.743,0.620,22.382,0.946,100,1.198,0.835,0.897
4,0.257,0,0,0,0,1.819,0.646,0.506,151.520,0.976,100,1.277,0.783,0.929
5,0.314,0,0,0,0,2.005,0.738,0.541,98.661,0.980,100,1.363,0.734,0.935
6,0.418,0,0,0,0,2.340,0.796,0.669,166.498,0.960,100,1.190,0.840,0.906
7,0.287,0,0,0,0,2.231,0.940,0.390,13.667,0.726,100,2.413,0.415,0.874
8,0.488,0,0,0,0,2.916,1.093,0.568,136.421,0.721,100,1.922,0.520,0.830
9,0.065,0,0,0,0,0.917,0.340,0.244,31.853,0.976,100,1.392,0.718,0.882
10,0.218,0,0,0,0,1.664,0.534,0.520,65.330,0.988,100,1.026,0.974,0.877
11,0.449,0,0,0,0,2.620,1.090,0.524,140.367,0.821,100,2.079,0.481,0.904
12,0.270,0,0,0,0,1.935,0.789,0.436,90.000,0.907,100,1.809,0.553,0.969
13,0.283,0,0,0,0,1.928,0.694,0.520,152.710,0.957,100,1.335,0.749,0.903
14,0.383,0,0,0,0,2.324,0.879,0.555,90.576,0.892,100,1.583,0.632,0.917
15,0.309,0,0,0,0,2.153,0.823,0.479,80.383,0.838,100,1.718,0.582,0.877
16,0.179,0,0,0,0,1.516,0.477,0.477,49.065,0.976,100,1.001,0.999,0.882
17,0.414,0,0,0,0,2.604,1.096,0.481,123.123,0.767,100,2.279,0.439,0.892
18,0.166,0,0,0,0,1.423,0.477,0.442,149.725,1.000,100,1.078,0.927,0.905
19,0.279,0,0,0,0,2.005,0.758,0.469,99.637,0.871,100,1.617,0.619,0.908
20,0.231,0,0,0,0,1.687,0.560,0.525,166.246,1.000,100,1.067,0.937,0.922
21,0.388,0,0,0,0,2.363,0.941,0.525,22.666,0.873,100,1.793,0.558,0.922
22,0.183,0,0,0,0,1.539,0.499,0.467,71.116,0.971,100,1.069,0.936,0.923
23,0.331,0,0,0,0,2.153,0.853,0.494,106.128,0.897,100,1.727,0.579,0.905
24,0.418,0,0,0,0,2.565,0.975,0.546,173.587,0.798,100,1.785,0.560,0.881
25,0.401,0,0,0,0,2.285,0.796,0.641,141.840,0.964,100,1.240,0.806,0.911
26,0.218,0,0,0,0,1.725,0.602,0.461,92.972,0.919,100,1.305,0.766,0.901
27,0.139,0,0,0,0,1.741,0.614,0.289,47.872,0.578,100,2.121,0.471,0.711
28,0.231,0,0,0,0,1.757,0.616,0.477,46.769,0.939,100,1.293,0.774,0.862
29,0.819,0,0,0,0,3.528,1.345,0.776,21.425,0.827,100,1.734,0.577,0.928
30,0.444,0,0,0,0,2.495,1.002,0.564,93.442,0.897,100,1.776,0.563,0.949
31,0.649,0,0,0,0,3.901,1.704,0.485,176.317,0.536,100,3.512,0.285,0.884
32,0.636,0,0,0,0,3.631,1.628,0.497,129.141,0.606,100,3.273,0.305,0.869
33,0.205,0,0,0,0,1.648,0.538,0.485,2.946,0.947,100,1.109,0.902,0.887
34,0.231,0,0,0,0,1.757,0.632,0.465,129.807,0.939,100,1.358,0.736,0.862
35,0.727,0,0,0,0,3.109,1.049,0.883,17.076,0.945,100,1.188,0.842,0.928
36,0.514,0,0,0,0,2.752,1.018,0.643,150.357,0.853,100,1.582,0.632,0.887
37,0.470,0,0,0,0,2.900,1.271,0.471,49.225,0.703,100,2.698,0.371,0.871
