 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,0.527,0,0,0,0,3.451,1.488,0.451,108.593,0.556,100,3.299,0.303,0.846
2,0.227,0,0,0,0,1.889,0.654,0.441,50.968,0.797,100,1.483,0.674,0.846
3,0.139,0,0,0,0,1.275,0.421,0.421,0.000,1.000,100,1.000,1.000,0.941
4,0.209,0,0,0,0,1.632,0.555,0.480,16.851,0.986,100,1.155,0.866,0.932
5,0.126,0,0,0,0,1.384,0.406,0.396,90.000,0.829,100,1.023,0.977,0.829
6,0.022,0,0,0,0,0.637,0.269,0.103,110.994,0.674,100,2.610,0.383,0.769
7,0.139,0,0,0,0,1.345,0.429,0.414,8.170,0.968,100,1.037,0.964,0.831
8,0.161,0,0,0,0,1.609,0.552,0.372,174.870,0.782,100,1.484,0.674,0.831
9,0.492,0,0,0,0,2.791,1.117,0.561,51.265,0.794,100,1.990,0.502,0.904
10,0.227,0,0,0,0,1.741,0.594,0.486,73.864,0.939,100,1.223,0.818,0.889
11,0.749,0,0,0,0,4.378,1.433,0.666,64.765,0.491,100,2.154,0.464,0.796
12,0.126,0,0,0,0,1.236,0.432,0.372,144.550,1.000,100,1.161,0.861,0.906
13,0.605,0,0,0,0,3.949,0.961,0.802,174.545,0.488,100,1.198,0.835,0.827
14,0.466,0,0,0,0,3.460,0.964,0.616,132.764,0.489,100,1.566,0.639,0.762
15,0.218,0,0,0,0,1.703,0.587,0.473,37.381,0.944,100,1.241,0.806,0.877
16,0.078,0,0,0,0,1.368,0.389,0.257,65.764,0.526,100,1.516,0.660,0.720
17,1.355,0,0,0,0,5.862,1.487,1.160,22.263,0.495,100,1.282,0.780,0.767
18,0.044,0,0,0,0,0.956,0.295,0.188,143.086,0.599,100,1.572,0.636,0.769
19,0.179,0,0,0,0,1.609,0.560,0.406,71.414,0.866,100,1.380,0.725,0.863
20,0.192,0,0,0,0,1.555,0.536,0.455,59.309,0.996,100,1.179,0.848,0.898
21,1.041,0,0,0,0,3.972,1.222,1.085,86.681,0.829,100,1.127,0.888,0.923
