 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,0.078,0,0,0,0,1.027,0.359,0.278,149.386,0.935,100,1.289,0.776,0.800
2,0.192,0,0,0,0,1.555,0.547,0.446,21.911,0.996,100,1.227,0.815,0.898
3,0.340,0,0,0,0,2.285,0.939,0.461,52.538,0.817,100,2.037,0.491,0.902
4,0.514,0,0,0,0,2.791,0.871,0.751,148.401,0.829,100,1.160,0.862,0.881
5,0.998,0,0,0,0,3.824,1.203,1.056,104.308,0.857,100,1.139,0.878,0.911
6,0.375,0,0,0,0,3.257,1.011,0.472,102.962,0.444,100,2.143,0.467,0.711
7,0.231,0,0,0,0,2.076,0.691,0.425,138.806,0.673,100,1.626,0.615,0.815
8,0.148,0,0,0,0,1.423,0.461,0.409,77.597,0.919,100,1.126,0.888,0.850
9,0.444,0,0,0,0,2.713,1.155,0.490,45.132,0.758,100,2.359,0.424,0.903
10,0.166,0,0,0,0,1.461,0.487,0.433,101.380,0.974,100,1.124,0.890,0.894
11,0.301,0,0,0,0,2.099,0.812,0.471,80.120,0.857,100,1.722,0.581,0.908
12,0.362,0,0,0,0,2.775,1.075,0.428,78.264,0.590,100,2.511,0.398,0.860
13,0.296,0,0,0,0,2.044,0.809,0.466,167.908,0.891,100,1.735,0.576,0.919
14,0.392,0,0,0,0,2.511,1.041,0.480,144.977,0.782,100,2.171,0.461,0.887
15,0.240,0,0,0,0,1.741,0.645,0.473,82.405,0.993,100,1.363,0.734,0.924
16,0.152,0,0,0,0,1.648,0.545,0.356,144.626,0.705,100,1.532,0.653,0.787
17,0.113,0,0,0,0,1.664,0.502,0.287,31.498,0.514,100,1.745,0.573,0.712
18,0.022,0,0,0,0,0.692,0.245,0.113,96.047,0.572,100,2.165,0.462,0.667
19,0.213,0,0,0,0,1.889,0.584,0.466,81.290,0.751,100,1.254,0.797,0.803
20,0.287,0,0,0,0,2.153,0.739,0.495,87.789,0.779,100,1.493,0.670,0.852
21,0.492,0,0,0,0,3.701,1.731,0.362,47.160,0.451,100,4.782,0.209,0.779
22,0.118,0,0,0,0,2.543,0.706,0.212,52.715,0.229,100,3.332,0.300,0.505
23,0.932,0,0,0,0,3.544,1.192,0.996,98.514,0.933,100,1.197,0.836,0.943
24,0.344,0,0,0,0,2.363,0.970,0.452,175.085,0.775,100,2.148,0.465,0.898
25,0.423,0,0,0,0,2.527,0.766,0.702,124.855,0.832,100,1.090,0.917,0.890
26,0.501,0,0,0,0,2.884,1.097,0.582,58.621,0.757,100,1.886,0.530,0.871
27,0.078,0,0,0,0,0.956,0.349,0.286,90.000,1.000,100,1.218,0.821,0.947
28,0.227,0,0,0,0,1.741,0.587,0.491,141.572,0.939,100,1.196,0.836,0.889
29,0.287,0,0,0,0,2.115,0.755,0.485,62.172,0.808,100,1.559,0.641,0.874
30,0.227,0,0,0,0,1.780,0.571,0.505,115.218,0.898,100,1.132,0.883,0.904
31,0.183,0,0,0,0,1.703,0.546,0.427,110.046,0.793,100,1.278,0.782,0.866
32,0.196,0,0,0,0,1.555,0.535,0.466,98.817,1.000,100,1.148,0.871,0.918
33,0.065,0,0,0,0,1.065,0.362,0.230,167.389,0.723,100,1.579,0.633,0.769
34,0.139,0,0,0,0,1.703,0.565,0.314,30.988,0.604,100,1.801,0.555,0.753
35,0.135,0,0,0,0,2.955,0.812,0.212,154.754,0.194,100,3.839,0.261,0.492
36,0.322,0,0,0,0,2.192,0.857,0.479,112.654,0.843,100,1.790,0.559,0.886
37,0.087,0,0,0,0,1.812,0.548,0.202,118.657,0.333,100,2.707,0.369,0.526
38,0.244,0,0,0,0,2.511,0.651,0.477,171.905,0.486,100,1.366,0.732,0.747
39,0.192,0,0,0,0,1.555,0.525,0.465,73.446,0.996,100,1.130,0.885,0.907
40,0.662,0,0,0,0,4.432,1.133,0.744,131.200,0.424,100,1.522,0.657,0.760
41,0.575,0,0,0,0,3.273,1.147,0.638,36.379,0.674,100,1.798,0.556,0.798
42,0.161,0,0,0,0,1.423,0.503,0.408,100.646,1.000,100,1.235,0.810,0.902
43,0.192,0,0,0,0,1.703,0.544,0.448,43.012,0.831,100,1.214,0.824,0.846
44,0.375,0,0,0,0,2.488,0.742,0.643,13.747,0.760,100,1.154,0.867,0.851
45,0.488,0,0,0,0,2.916,0.923,0.673,129.850,0.721,100,1.372,0.729,0.848
46,0.200,0,0,0,0,1.703,0.527,0.484,116.356,0.868,100,1.090,0.917,0.844
47,0.161,0,0,0,0,1.439,0.520,0.395,120.518,0.978,100,1.317,0.759,0.871
48,0.122,0,0,0,0,1.236,0.439,0.354,55.812,1.000,100,1.239,0.807,0.889
49,0.344,0,0,0,0,2.347,0.985,0.445,9.326,0.785,100,2.215,0.451,0.924
50,0.231,0,0,0,0,1.725,0.555,0.529,108.366,0.975,100,1.050,0.953,0.922
51,0.510,0,0,0,0,3.103,0.946,0.686,112.946,0.665,100,1.380,0.725,0.836
52,0.375,0,0,0,0,2.543,0.922,0.517,33.241,0.728,100,1.783,0.561,0.835
53,0.218,0,0,0,0,1.687,0.587,0.472,123.677,0.962,100,1.243,0.805,0.909
54,0.553,0,0,0,0,2.891,1.100,0.640,90.838,0.832,100,1.718,0.582,0.924
55,0.205,0,0,0,0,1.796,0.607,0.430,114.225,0.798,100,1.413,0.708,0.825
56,0.183,0,0,0,0,1.555,0.568,0.410,85.283,0.951,100,1.386,0.721,0.903
57,0.327,0,0,0,0,2.269,0.944,0.441,162.234,0.797,100,2.142,0.467,0.898
58,0.266,0,0,0,0,1.967,0.632,0.535,32.127,0.863,100,1.181,0.847,0.884
59,0.375,0,0,0,0,2.401,0.958,0.498,76.138,0.816,100,1.925,0.520,0.910
60,0.327,0,0,0,0,2.137,0.795,0.523,77.181,0.899,100,1.520,0.658,0.904
61,0.314,0,0,0,0,2.099,0.791,0.505,59.864,0.895,100,1.569,0.637,0.911
62,0.170,0,0,0,0,1.461,0.477,0.454,97.628,1.000,100,1.051,0.952,0.907
63,0.314,0,0,0,0,2.269,0.857,0.466,6.730,0.765,100,1.838,0.544,0.867
64,0.118,0,0,0,0,1.181,0.426,0.352,77.508,1.000,100,1.210,0.826,0.947
65,0.222,0,0,0,0,1.741,0.620,0.456,70.718,0.921,100,1.360,0.736,0.879
66,0.244,0,0,0,0,2.192,0.880,0.353,69.956,0.638,100,2.494,0.401,0.812
67,0.427,0,0,0,0,2.636,1.140,0.477,134.384,0.772,100,2.390,0.418,0.867
68,0.340,0,0,0,0,2.208,0.698,0.620,6.277,0.876,100,1.125,0.889,0.891
69,0.235,0,0,0,0,1.889,0.569,0.526,107.048,0.828,100,1.081,0.925,0.850
