 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,0.475,0,0,0,0,2.877,1.014,0.596,44.708,0.721,100,1.702,0.587,0.823
2,0.357,0,0,0,0,2.527,0.723,0.629,96.136,0.703,100,1.148,0.871,0.828
3,0.152,0,0,0,0,1.384,0.487,0.399,125.154,1.000,100,1.222,0.819,0.886
4,0.257,0,0,0,0,1.835,0.614,0.533,22.715,0.959,100,1.151,0.869,0.887
5,0.192,0,0,0,0,1.571,0.505,0.483,27.200,0.976,100,1.046,0.956,0.880
6,0.418,0,0,0,0,2.643,1.085,0.491,110.606,0.752,100,2.210,0.452,0.881
7,0.109,0,0,0,0,1.181,0.424,0.327,80.459,0.981,100,1.294,0.773,0.909
8,0.309,0,0,0,0,2.488,0.640,0.616,61.037,0.628,100,1.039,0.963,0.807
9,0.231,0,0,0,0,1.764,0.700,0.420,174.538,0.932,100,1.667,0.600,0.946
10,0.057,0,0,0,0,1.532,0.357,0.202,90.147,0.303,100,1.766,0.566,0.491
11,0.344,0,0,0,0,2.449,0.680,0.644,80.507,0.721,100,1.056,0.947,0.840
12,0.170,0,0,0,0,1.648,0.484,0.447,79.544,0.786,100,1.082,0.924,0.830
13,0.253,0,0,0,0,1.780,0.604,0.532,87.604,1.000,100,1.135,0.881,0.928
14,0.675,0,0,0,0,3.248,1.342,0.641,1.683,0.804,100,2.095,0.477,0.951
15,0.518,0,0,0,0,3.489,1.529,0.432,107.353,0.535,100,3.542,0.282,0.826
16,0.819,0,0,0,0,4.764,2.107,0.495,20.900,0.453,100,4.259,0.235,0.826
17,1.398,0,0,0,0,5.894,1.584,1.124,78.590,0.506,100,1.410,0.709,0.813
18,0.170,0,0,0,0,1.967,0.477,0.453,96.841,0.552,100,1.052,0.951,0.750
19,0.192,0,0,0,0,1.593,0.523,0.466,115.065,0.949,100,1.122,0.892,0.907
20,0.309,0,0,0,0,2.504,0.655,0.601,51.869,0.620,100,1.091,0.917,0.763
21,0.157,0,0,0,0,1.461,0.554,0.361,43.509,0.923,100,1.535,0.651,0.889
22,0.283,0,0,0,0,1.928,0.731,0.493,40.634,0.957,100,1.481,0.675,0.915
23,0.200,0,0,0,0,2.185,0.522,0.489,51.569,0.527,100,1.066,0.938,0.742
24,0.540,0,0,0,0,3.077,1.062,0.648,102.503,0.717,100,1.639,0.610,0.838
25,0.074,0,0,0,0,1.220,0.529,0.178,80.592,0.625,100,2.973,0.336,0.829
26,0.222,0,0,0,0,1.741,0.612,0.462,152.504,0.921,100,1.325,0.755,0.872
27,0.161,0,0,0,0,1.944,0.566,0.362,141.063,0.536,100,1.562,0.640,0.771
28,0.196,0,0,0,0,1.648,0.540,0.462,6.066,0.907,100,1.170,0.855,0.900
29,1.211,0,0,0,0,4.236,1.622,0.951,33.838,0.848,100,1.706,0.586,0.938
30,0.244,0,0,0,0,2.060,0.631,0.492,19.753,0.722,100,1.282,0.780,0.806
31,1.224,0,0,0,0,4.944,1.501,1.038,106.314,0.629,100,1.446,0.691,0.848
32,0.862,0,0,0,0,4.213,1.190,0.923,44.760,0.610,100,1.290,0.775,0.848
33,0.501,0,0,0,0,3.103,0.955,0.668,97.207,0.654,100,1.430,0.700,0.833
34,0.296,0,0,0,0,1.928,0.656,0.575,4.463,1.000,100,1.141,0.876,0.907
35,0.196,0,0,0,0,1.687,0.512,0.488,139.561,0.866,100,1.049,0.954,0.849
36,0.218,0,0,0,0,1.796,0.634,0.438,154.693,0.848,100,1.448,0.691,0.847
37,0.087,0,0,0,0,1.049,0.398,0.279,167.875,0.994,100,1.429,0.700,0.909
38,0.109,0,0,0,0,1.197,0.408,0.340,54.827,0.954,100,1.199,0.834,0.847
39,0.893,0,0,0,0,4.111,1.780,0.639,102.492,0.664,100,2.787,0.359,0.911
40,0.362,0,0,0,0,2.868,1.167,0.394,111.447,0.552,100,2.961,0.338,0.790
41,0.797,0,0,0,0,4.111,1.764,0.575,10.410,0.593,100,3.067,0.326,0.891
42,0.815,0,0,0,0,3.863,1.281,0.810,80.086,0.686,100,1.582,0.632,0.862
43,1.045,0,0,0,0,4.841,1.983,0.671,6.748,0.560,100,2.953,0.339,0.853
44,0.170,0,0,0,0,1.477,0.500,0.432,26.565,0.978,100,1.158,0.864,0.897
45,0.453,0,0,0,0,3.000,1.061,0.544,15.060,0.633,100,1.951,0.513,0.863
46,1.032,0,0,0,0,4.477,1.451,0.906,155.267,0.647,100,1.602,0.624,0.826
47,0.923,0,0,0,0,4.081,1.129,1.041,173.535,0.697,100,1.084,0.922,0.853
48,0.287,0,0,0,0,2.021,0.689,0.531,43.724,0.884,100,1.297,0.771,0.874
49,0.305,0,0,0,0,2.697,0.706,0.550,4.567,0.527,100,1.284,0.779,0.769
50,0.348,0,0,0,0,2.549,1.010,0.439,25.219,0.674,100,2.299,0.435,0.821
51,0.292,0,0,0,0,3.289,1.148,0.324,138.526,0.339,100,3.545,0.282,0.663
52,0.174,0,0,0,0,1.516,0.495,0.448,12.054,0.953,100,1.104,0.906,0.870
