 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,1.024,0,0,0,0,3.637,1.168,1.116,54.717,0.972,100,1.047,0.955,0.949
2,1.673,0,0,0,0,7.365,3.481,0.612,80.432,0.387,100,5.690,0.176,0.882
3,0.457,0,0,0,0,2.433,0.822,0.709,107.103,0.971,100,1.159,0.862,0.921
4,0.558,0,0,0,0,2.791,0.998,0.712,113.457,0.900,100,1.402,0.713,0.911
5,0.627,0,0,0,0,3.621,1.596,0.500,75.376,0.601,100,3.191,0.313,0.875
6,0.388,0,0,0,0,2.472,0.990,0.499,34.135,0.797,100,1.984,0.504,0.873
7,0.305,0,0,0,0,2.005,0.715,0.543,85.457,0.953,100,1.318,0.759,0.909
8,0.305,0,0,0,0,2.060,0.672,0.578,177.936,0.903,100,1.164,0.859,0.892
9,0.514,0,0,0,0,3.296,1.439,0.455,30.292,0.595,100,3.163,0.316,0.849
10,0.706,0,0,0,0,3.537,1.508,0.596,129.498,0.709,100,2.532,0.395,0.898
11,0.762,0,0,0,0,4.603,2.123,0.457,36.410,0.452,100,4.643,0.215,0.774
12,0.209,0,0,0,0,1.632,0.592,0.449,61.464,0.986,100,1.318,0.759,0.941
13,0.614,0,0,0,0,3.132,1.260,0.621,2.247,0.787,100,2.029,0.493,0.895
14,0.453,0,0,0,0,2.713,1.051,0.549,129.744,0.773,100,1.914,0.522,0.878
15,0.627,0,0,0,0,3.685,1.700,0.470,45.143,0.580,100,3.618,0.276,0.875
16,0.335,0,0,0,0,2.231,0.875,0.488,150.790,0.847,100,1.793,0.558,0.901
17,0.335,0,0,0,0,2.192,0.823,0.519,121.846,0.877,100,1.585,0.631,0.890
18,0.436,0,0,0,0,2.604,1.032,0.537,58.606,0.807,100,1.921,0.521,0.889
19,0.253,0,0,0,0,1.796,0.645,0.499,142.422,0.984,100,1.294,0.773,0.892
20,0.423,0,0,0,0,2.597,0.968,0.556,34.330,0.787,100,1.741,0.575,0.874
21,0.287,0,0,0,0,1.928,0.770,0.476,143.326,0.972,100,1.619,0.618,0.917
22,0.540,0,0,0,0,3.132,1.221,0.563,19.508,0.692,100,2.169,0.461,0.864
23,0.344,0,0,0,0,2.263,0.910,0.481,134.433,0.845,100,1.891,0.529,0.883
24,0.340,0,0,0,0,2.192,0.803,0.539,65.638,0.889,100,1.490,0.671,0.897
25,0.741,0,0,0,0,3.708,1.548,0.609,34.189,0.677,100,2.543,0.393,0.888
26,0.192,0,0,0,0,1.539,0.567,0.430,0.000,1.000,100,1.320,0.758,0.957
27,0.183,0,0,0,0,1.648,0.540,0.431,101.599,0.846,100,1.251,0.799,0.866
28,0.741,0,0,0,0,3.303,1.277,0.738,88.236,0.853,100,1.730,0.578,0.937
29,0.527,0,0,0,0,3.071,1.095,0.613,65.101,0.702,100,1.785,0.560,0.874
30,0.405,0,0,0,0,2.511,0.989,0.522,103.652,0.808,100,1.894,0.528,0.877
31,0.039,0,0,0,0,0.917,0.369,0.135,159.288,0.585,100,2.732,0.366,0.692
32,0.292,0,0,0,0,2.115,0.679,0.548,121.583,0.820,100,1.239,0.807,0.859
33,0.222,0,0,0,0,1.725,0.597,0.474,123.044,0.938,100,1.258,0.795,0.911
34,0.366,0,0,0,0,2.308,0.803,0.580,170.766,0.863,100,1.384,0.723,0.918
35,0.196,0,0,0,0,1.609,0.535,0.467,30.473,0.951,100,1.146,0.873,0.874
36,0.235,0,0,0,0,1.983,0.569,0.527,28.890,0.752,100,1.080,0.926,0.844
37,0.174,0,0,0,0,1.461,0.481,0.461,144.277,1.000,100,1.045,0.957,0.920
38,0.022,0,0,0,0,0.731,0.335,0.083,162.857,0.513,100,4.051,0.247,0.667
39,0.209,0,0,0,0,1.648,0.565,0.471,84.784,0.967,100,1.200,0.833,0.897
40,0.305,0,0,0,0,2.115,0.785,0.495,15.861,0.857,100,1.585,0.631,0.854
41,0.170,0,0,0,0,1.500,0.516,0.420,74.049,0.949,100,1.229,0.814,0.907
42,0.183,0,0,0,0,1.571,0.549,0.424,63.731,0.932,100,1.296,0.772,0.857
43,0.196,0,0,0,0,1.648,0.602,0.415,16.809,0.907,100,1.452,0.689,0.874
44,1.037,0,0,0,0,3.824,1.395,0.946,96.269,0.891,100,1.474,0.678,0.935
45,0.148,0,0,0,0,1.329,0.461,0.409,90.000,1.000,100,1.127,0.887,0.919
46,0.318,0,0,0,0,2.137,0.757,0.535,49.063,0.875,100,1.416,0.706,0.890
47,0.314,0,0,0,0,2.044,0.715,0.558,29.992,0.943,100,1.282,0.780,0.917
48,0.135,0,0,0,0,1.291,0.448,0.384,10.357,1.000,100,1.168,0.856,0.886
49,0.257,0,0,0,0,1.873,0.614,0.533,103.017,0.920,100,1.151,0.869,0.881
50,0.388,0,0,0,0,2.939,1.193,0.414,58.757,0.564,100,2.882,0.347,0.788
51,0.409,0,0,0,0,3.296,1.178,0.442,16.129,0.474,100,2.663,0.375,0.793
52,0.174,0,0,0,0,1.500,0.505,0.439,61.169,0.973,100,1.150,0.870,0.909
53,0.287,0,0,0,0,2.021,0.796,0.460,147.139,0.884,100,1.732,0.577,0.874
54,0.466,0,0,0,0,2.829,1.009,0.588,67.893,0.732,100,1.714,0.583,0.843
55,0.449,0,0,0,0,2.604,0.885,0.645,41.387,0.831,100,1.372,0.729,0.862
56,0.392,0,0,0,0,2.697,0.840,0.594,122.740,0.677,100,1.414,0.707,0.814
57,0.540,0,0,0,0,3.093,1.279,0.538,177.127,0.709,100,2.380,0.420,0.883
58,0.148,0,0,0,0,1.407,0.442,0.426,155.366,0.941,100,1.037,0.964,0.895
59,0.126,0,0,0,0,1.252,0.413,0.390,78.690,1.000,100,1.060,0.943,0.866
60,0.135,0,0,0,0,1.345,0.434,0.396,90.000,0.937,100,1.097,0.911,0.816
61,0.505,0,0,0,0,2.775,0.978,0.658,72.076,0.825,100,1.487,0.672,0.882
62,0.270,0,0,0,0,1.873,0.659,0.522,20.628,0.967,100,1.262,0.792,0.905
63,0.166,0,0,0,0,1.648,0.518,0.407,179.798,0.766,100,1.272,0.786,0.844
64,0.261,0,0,0,0,1.835,0.623,0.535,117.228,0.976,100,1.165,0.859,0.889
65,0.780,0,0,0,0,3.451,1.282,0.774,160.639,0.823,100,1.656,0.604,0.916
66,0.192,0,0,0,0,1.539,0.567,0.430,90.000,1.000,100,1.320,0.758,0.957
67,2.200,0,0,0,0,7.979,3.903,0.718,43.789,0.434,100,5.439,0.184,0.899
68,0.257,0,0,0,0,1.857,0.700,0.468,10.943,0.936,100,1.497,0.668,0.929
69,0.279,0,0,0,0,2.285,0.668,0.532,42.522,0.671,100,1.256,0.796,0.837
70,0.440,0,0,0,0,2.379,0.775,0.722,159.913,0.977,100,1.073,0.932,0.927
71,0.144,0,0,0,0,1.329,0.454,0.403,10.794,1.000,100,1.127,0.888,0.904
72,0.209,0,0,0,0,1.741,0.620,0.429,19.756,0.866,100,1.446,0.691,0.873
73,0.745,0,0,0,0,3.856,1.115,0.850,104.902,0.629,100,1.312,0.762,0.866
74,0.540,0,0,0,0,2.845,1.129,0.609,146.540,0.838,100,1.854,0.539,0.892
75,0.196,0,0,0,0,1.593,0.522,0.479,8.182,0.970,100,1.090,0.918,0.909
76,0.139,0,0,0,0,1.313,0.448,0.397,51.782,1.000,100,1.128,0.886,0.941
77,0.440,0,0,0,0,2.495,0.944,0.593,88.059,0.888,100,1.590,0.629,0.927
78,0.131,0,0,0,0,1.291,0.428,0.389,169.419,0.986,100,1.102,0.908,0.870
79,0.758,0,0,0,0,4.548,1.468,0.657,177.311,0.460,100,2.234,0.448,0.782
80,0.248,0,0,0,0,1.873,0.684,0.462,67.636,0.889,100,1.479,0.676,0.877
81,0.139,0,0,0,0,1.275,0.421,0.421,0.000,1.000,100,1.000,1.000,0.941
82,0.958,0,0,0,0,4.780,2.157,0.566,112.880,0.527,100,3.812,0.262,0.856
83,0.192,0,0,0,0,1.593,0.631,0.386,161.344,0.949,100,1.634,0.612,0.917
84,0.266,0,0,0,0,2.005,0.798,0.424,103.443,0.830,100,1.881,0.532,0.891
85,0.174,0,0,0,0,1.500,0.554,0.401,173.176,0.973,100,1.383,0.723,0.920
86,0.780,0,0,0,0,4.027,1.120,0.887,1.608,0.604,100,1.263,0.792,0.861
87,0.963,0,0,0,0,4.065,1.653,0.741,155.136,0.732,100,2.229,0.449,0.897
88,0.235,0,0,0,0,1.873,0.644,0.465,62.186,0.842,100,1.385,0.722,0.844
89,0.479,0,0,0,0,2.775,1.090,0.560,110.153,0.782,100,1.947,0.514,0.898
