 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
160,0.035,0,0,0,0,0.972,0.365,0.121,123.574,0.463,100,3.008,0.332,0.640
161,0.209,0,0,0,0,1.928,0.641,0.416,139.713,0.707,100,1.542,0.649,0.835
162,0.423,0,0,0,0,2.620,1.091,0.493,58.486,0.773,100,2.213,0.452,0.878
163,0.209,0,0,0,0,1.796,0.647,0.411,159.396,0.815,100,1.575,0.635,0.850
164,0.462,0,0,0,0,2.977,0.987,0.596,160.206,0.655,100,1.657,0.604,0.835
165,0.357,0,0,0,0,2.488,0.994,0.458,124.748,0.725,100,2.172,0.460,0.854
166,0.545,0,0,0,0,3.071,1.203,0.577,32.697,0.726,100,2.086,0.479,0.871
167,0.235,0,0,0,0,1.812,0.614,0.487,134.957,0.900,100,1.261,0.793,0.864
168,0.292,0,0,0,0,2.285,0.831,0.447,109.850,0.702,100,1.858,0.538,0.865
169,0.379,0,0,0,0,2.324,0.887,0.544,169.715,0.882,100,1.632,0.613,0.902
170,0.248,0,0,0,0,2.115,0.612,0.517,86.144,0.698,100,1.183,0.845,0.832
171,0.166,0,0,0,0,1.423,0.477,0.442,120.275,1.000,100,1.078,0.927,0.905
172,0.893,0,0,0,0,4.120,1.770,0.642,148.329,0.661,100,2.756,0.363,0.889
173,0.388,0,0,0,0,2.517,1.059,0.466,95.874,0.769,100,2.273,0.440,0.932
174,0.161,0,0,0,0,1.516,0.477,0.430,44.217,0.881,100,1.110,0.901,0.871
175,0.231,0,0,0,0,2.115,0.656,0.448,83.637,0.649,100,1.466,0.682,0.835
176,0.610,0,0,0,0,2.884,0.906,0.857,73.530,0.921,100,1.056,0.947,0.912
177,0.240,0,0,0,0,1.780,0.670,0.455,54.678,0.950,100,1.471,0.680,0.909
178,0.179,0,0,0,0,1.461,0.557,0.408,167.652,1.000,100,1.363,0.734,0.932
179,0.166,0,0,0,0,1.625,0.500,0.422,158.152,0.787,100,1.186,0.843,0.776
180,0.518,0,0,0,0,2.829,0.980,0.673,102.358,0.814,100,1.456,0.687,0.878
181,0.135,0,0,0,0,1.439,0.525,0.327,134.175,0.820,100,1.604,0.623,0.795
182,0.344,0,0,0,0,2.433,0.737,0.594,142.810,0.730,100,1.240,0.807,0.854
183,0.436,0,0,0,0,2.549,0.961,0.577,4.096,0.842,100,1.664,0.601,0.901
184,0.540,0,0,0,0,3.203,1.179,0.583,85.946,0.662,100,2.022,0.495,0.883
185,2.069,0,0,0,0,9.570,3.829,0.688,49.401,0.284,100,5.564,0.180,0.605
186,0.719,0,0,0,0,3.280,1.183,0.774,58.728,0.839,100,1.529,0.654,0.912
187,0.261,0,0,0,0,1.928,0.628,0.530,151.866,0.883,100,1.186,0.843,0.851
188,0.227,0,0,0,0,1.796,0.555,0.520,124.926,0.882,100,1.067,0.937,0.867
189,0.362,0,0,0,0,2.379,0.938,0.491,48.259,0.803,100,1.912,0.523,0.874
190,0.139,0,0,0,0,1.461,0.595,0.298,69.958,0.820,100,1.996,0.501,0.877
191,0.196,0,0,0,0,1.555,0.545,0.458,174.946,1.000,100,1.191,0.840,0.909
192,0.148,0,0,0,0,1.368,0.458,0.412,153.435,0.994,100,1.112,0.899,0.919
193,0.144,0,0,0,0,1.313,0.443,0.413,134.998,1.000,100,1.071,0.934,0.957
194,0.253,0,0,0,0,1.928,0.725,0.444,54.073,0.854,100,1.635,0.612,0.872
195,0.322,0,0,0,0,2.231,0.839,0.489,81.139,0.814,100,1.715,0.583,0.892
196,0.152,0,0,0,0,1.477,0.476,0.408,35.440,0.878,100,1.167,0.857,0.843
197,0.279,0,0,0,0,1.951,0.782,0.454,167.521,0.921,100,1.722,0.581,0.928
198,0.218,0,0,0,0,1.835,0.704,0.394,102.450,0.813,100,1.785,0.560,0.833
199,0.479,0,0,0,0,2.527,0.823,0.741,140.396,0.943,100,1.111,0.900,0.902
200,0.741,0,0,0,0,3.988,1.737,0.543,116.533,0.585,100,3.200,0.312,0.856
201,0.274,0,0,0,0,1.835,0.619,0.565,127.678,1.000,100,1.096,0.912,0.913
202,0.727,0,0,0,0,4.059,1.199,0.773,71.985,0.555,100,1.551,0.645,0.801
203,0.213,0,0,0,0,1.835,0.671,0.405,40.388,0.797,100,1.657,0.604,0.875
204,0.274,0,0,0,0,2.153,0.710,0.492,77.652,0.744,100,1.444,0.693,0.869
205,0.710,0,0,0,0,3.808,1.499,0.603,7.590,0.615,100,2.486,0.402,0.856
206,0.170,0,0,0,0,1.796,0.492,0.440,81.593,0.662,100,1.117,0.895,0.804
207,0.366,0,0,0,0,2.363,0.972,0.479,169.890,0.824,100,2.027,0.493,0.898
208,0.366,0,0,0,0,2.488,0.888,0.524,14.158,0.743,100,1.694,0.590,0.853
209,0.227,0,0,0,0,1.703,0.589,0.489,174.227,0.982,100,1.204,0.830,0.889
210,0.131,0,0,0,0,1.275,0.424,0.392,63.764,1.000,100,1.081,0.925,0.923
211,0.723,0,0,0,0,3.039,0.982,0.938,126.183,0.984,100,1.047,0.955,0.957
212,0.209,0,0,0,0,1.687,0.626,0.425,66.399,0.924,100,1.471,0.680,0.897
213,0.244,0,0,0,0,2.845,0.730,0.426,71.298,0.379,100,1.714,0.583,0.679
214,0.344,0,0,0,0,2.884,1.079,0.406,167.612,0.520,100,2.657,0.376,0.798
215,0.083,0,0,0,0,1.516,0.655,0.161,119.142,0.453,100,4.077,0.245,0.717
216,0.174,0,0,0,0,2.169,0.761,0.292,126.903,0.465,100,2.609,0.383,0.734
217,0.449,0,0,0,0,2.659,0.959,0.596,117.162,0.798,100,1.610,0.621,0.866
218,1.111,0,0,0,0,4.307,1.778,0.795,128.113,0.753,100,2.235,0.447,0.914
219,0.475,0,0,0,0,2.807,0.986,0.613,21.385,0.757,100,1.609,0.621,0.865
220,0.723,0,0,0,0,4.774,1.559,0.591,167.898,0.399,100,2.640,0.379,0.769
221,0.192,0,0,0,0,2.993,0.613,0.398,95.943,0.269,100,1.538,0.650,0.642
222,0.131,0,0,0,0,1.291,0.433,0.384,168.760,0.986,100,1.127,0.887,0.870
223,0.501,0,0,0,0,3.071,1.093,0.583,117.684,0.668,100,1.874,0.534,0.810
224,0.287,0,0,0,0,2.153,0.677,0.540,15.821,0.779,100,1.253,0.798,0.852
225,0.405,0,0,0,0,3.016,1.246,0.414,157.347,0.560,100,3.011,0.332,0.809
226,0.684,0,0,0,0,3.132,1.009,0.863,3.342,0.876,100,1.170,0.855,0.924
227,0.309,0,0,0,0,1.967,0.647,0.609,174.231,1.000,100,1.062,0.942,0.928
228,0.479,0,0,0,0,2.604,0.961,0.635,52.888,0.888,100,1.514,0.660,0.917
229,0.340,0,0,0,0,2.449,0.983,0.440,52.998,0.712,100,2.232,0.448,0.872
230,0.235,0,0,0,0,2.076,0.624,0.480,51.769,0.686,100,1.299,0.770,0.831
231,0.078,0,0,0,0,1.345,0.398,0.251,55.278,0.544,100,1.584,0.631,0.750
232,0.362,0,0,0,0,2.581,1.035,0.445,36.401,0.682,100,2.325,0.430,0.834
233,0.235,0,0,0,0,1.967,0.660,0.454,116.393,0.764,100,1.454,0.688,0.857
234,0.296,0,0,0,0,2.060,0.781,0.483,41.822,0.877,100,1.616,0.619,0.889
235,0.170,0,0,0,0,1.500,0.549,0.394,42.539,0.949,100,1.393,0.718,0.907
236,0.261,0,0,0,0,1.873,0.654,0.509,152.604,0.936,100,1.285,0.778,0.916
237,0.105,0,0,0,0,1.197,0.410,0.325,99.760,0.916,100,1.262,0.792,0.842
238,0.122,0,0,0,0,1.197,0.412,0.377,180.000,1.000,100,1.092,0.916,0.903
239,0.135,0,0,0,0,1.291,0.446,0.386,58.826,1.000,100,1.156,0.865,0.886
240,0.357,0,0,0,0,2.527,0.869,0.523,108.923,0.703,100,1.660,0.602,0.863
241,0.536,0,0,0,0,3.016,1.182,0.577,30.624,0.740,100,2.047,0.489,0.879
242,0.192,0,0,0,0,1.664,0.575,0.424,24.223,0.870,100,1.355,0.738,0.822
243,0.166,0,0,0,0,1.461,0.464,0.454,30.256,0.974,100,1.022,0.979,0.894
244,0.575,0,0,0,0,3.203,1.293,0.566,33.340,0.704,100,2.285,0.438,0.880
245,0.348,0,0,0,0,2.572,1.145,0.388,88.742,0.662,100,2.953,0.339,0.899
246,0.309,0,0,0,0,2.021,0.695,0.566,29.020,0.951,100,1.228,0.814,0.887
247,0.392,0,0,0,0,2.340,0.747,0.668,9.374,0.900,100,1.118,0.894,0.896
248,0.296,0,0,0,0,2.169,0.705,0.535,65.295,0.791,100,1.318,0.759,0.845
249,0.166,0,0,0,0,1.423,0.466,0.452,36.386,1.000,100,1.030,0.971,0.894
250,0.601,0,0,0,0,2.791,0.969,0.790,131.490,0.970,100,1.226,0.816,0.929
251,0.836,0,0,0,0,3.599,1.415,0.752,159.084,0.812,100,1.882,0.531,0.910
252,0.078,0,0,0,0,1.197,0.411,0.243,173.368,0.687,100,1.695,0.590,0.783
253,0.200,0,0,0,0,1.593,0.543,0.470,162.177,0.992,100,1.156,0.865,0.920
254,0.078,0,0,0,0,1.275,0.523,0.191,69.396,0.606,100,2.742,0.365,0.800
255,0.166,0,0,0,0,1.384,0.472,0.447,33.690,1.000,100,1.055,0.948,0.905
256,0.274,0,0,0,0,1.989,0.775,0.451,75.638,0.871,100,1.718,0.582,0.926
257,0.305,0,0,0,0,2.285,0.729,0.533,85.067,0.734,100,1.368,0.731,0.859
258,0.923,0,0,0,0,4.065,1.268,0.927,36.084,0.702,100,1.367,0.731,0.872
259,0.680,0,0,0,0,3.847,1.673,0.517,17.236,0.577,100,3.236,0.309,0.894
260,0.335,0,0,0,0,2.379,0.998,0.428,147.344,0.745,100,2.330,0.429,0.880
261,0.183,0,0,0,0,1.555,0.512,0.455,34.073,0.951,100,1.125,0.889,0.884
262,0.527,0,0,0,0,2.829,1.061,0.633,54.891,0.827,100,1.677,0.596,0.883
263,0.636,0,0,0,0,3.956,1.640,0.494,167.880,0.511,100,3.323,0.301,0.768
264,0.409,0,0,0,0,2.675,1.023,0.510,153.990,0.719,100,2.008,0.498,0.847
265,0.248,0,0,0,0,1.912,0.725,0.436,99.858,0.853,100,1.661,0.602,0.884
266,0.331,0,0,0,0,2.208,0.706,0.597,22.233,0.853,100,1.183,0.845,0.874
267,0.348,0,0,0,0,2.324,0.877,0.506,116.459,0.811,100,1.735,0.576,0.889
268,0.375,0,0,0,0,2.285,0.739,0.645,54.969,0.901,100,1.145,0.873,0.878
269,0.375,0,0,0,0,2.549,1.022,0.467,29.597,0.724,100,2.188,0.457,0.869
270,0.139,0,0,0,0,1.275,0.421,0.421,0.000,1.000,100,1.000,1.000,0.941
271,0.283,0,0,0,0,2.340,0.694,0.520,91.893,0.650,100,1.334,0.749,0.833
272,0.287,0,0,0,0,1.873,0.614,0.596,26.182,1.000,100,1.031,0.969,0.923
273,0.209,0,0,0,0,1.593,0.547,0.487,0.000,1.000,100,1.122,0.891,0.941
274,0.253,0,0,0,0,1.835,0.655,0.491,26.457,0.943,100,1.335,0.749,0.892
275,0.030,0,0,0,0,0.599,0.204,0.191,90.000,1.000,100,1.069,0.936,0.875
276,0.192,0,0,0,0,1.664,0.517,0.472,75.039,0.870,100,1.095,0.913,0.838
277,0.466,0,0,0,0,2.627,1.044,0.568,9.348,0.849,100,1.836,0.545,0.915
278,0.353,0,0,0,0,2.247,0.901,0.499,135.636,0.878,100,1.808,0.553,0.920
279,0.340,0,0,0,0,2.192,0.761,0.569,84.784,0.889,100,1.338,0.747,0.897
280,0.396,0,0,0,0,2.379,0.758,0.666,64.794,0.880,100,1.139,0.878,0.883
281,0.248,0,0,0,0,2.021,0.685,0.462,19.517,0.764,100,1.483,0.674,0.844
