 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,0.823,0,0,0,0,4.229,1.325,0.791,32.586,0.578,100,1.674,0.597,0.815
2,0.327,0,0,0,0,2.269,0.931,0.447,84.804,0.797,100,2.082,0.480,0.909
3,0.475,0,0,0,0,3.631,0.978,0.618,179.713,0.453,100,1.581,0.632,0.744
4,0.584,0,0,0,0,3.351,1.011,0.735,97.722,0.653,100,1.376,0.727,0.827
5,0.597,0,0,0,0,3.109,0.974,0.780,58.561,0.776,100,1.249,0.801,0.873
6,0.118,0,0,0,0,2.037,0.473,0.317,114.940,0.356,100,1.493,0.670,0.574
7,0.597,0,0,0,0,3.817,1.136,0.669,152.969,0.515,100,1.698,0.589,0.804
8,0.379,0,0,0,0,2.643,1.143,0.422,159.967,0.682,100,2.708,0.369,0.870
9,0.118,0,0,0,0,1.423,0.427,0.351,107.613,0.730,100,1.216,0.822,0.783
10,0.218,0,0,0,0,1.889,0.627,0.443,7.565,0.767,100,1.416,0.706,0.826
11,0.240,0,0,0,0,2.076,0.627,0.487,80.832,0.699,100,1.287,0.777,0.769
12,0.305,0,0,0,0,1.967,0.698,0.557,52.086,0.991,100,1.253,0.798,0.915
13,0.797,0,0,0,0,4.191,1.069,0.949,177.200,0.570,100,1.127,0.888,0.851
14,0.375,0,0,0,0,2.192,0.707,0.674,87.810,0.980,100,1.049,0.953,0.915
15,0.213,0,0,0,0,1.757,0.555,0.489,55.749,0.868,100,1.134,0.882,0.831
16,0.157,0,0,0,0,1.423,0.474,0.421,135.217,0.974,100,1.127,0.887,0.878
17,0.179,0,0,0,0,1.477,0.528,0.431,175.498,1.000,100,1.225,0.816,0.882
18,0.157,0,0,0,0,1.384,0.516,0.387,36.670,1.000,100,1.332,0.751,0.889
19,0.510,0,0,0,0,3.273,1.466,0.443,53.334,0.598,100,3.312,0.302,0.848
20,0.671,0,0,0,0,4.197,1.800,0.475,62.841,0.478,100,3.792,0.264,0.786
21,0.113,0,0,0,0,1.252,0.490,0.294,144.822,0.908,100,1.668,0.600,0.852
22,0.270,0,0,0,0,2.044,0.729,0.472,175.221,0.812,100,1.546,0.647,0.899
23,0.488,0,0,0,0,3.148,1.407,0.442,156.716,0.619,100,3.186,0.314,0.868
24,0.309,0,0,0,0,2.083,0.811,0.485,88.301,0.896,100,1.671,0.598,0.934
25,0.157,0,0,0,0,1.407,0.496,0.403,76.425,0.996,100,1.230,0.813,0.923
26,0.170,0,0,0,0,1.477,0.524,0.413,115.248,0.978,100,1.271,0.787,0.867
27,0.039,0,0,0,0,0.731,0.259,0.193,78.019,0.923,100,1.343,0.745,0.857
28,0.052,0,0,0,0,0.824,0.269,0.247,78.690,0.967,100,1.088,0.919,0.857
29,0.292,0,0,0,0,2.169,0.842,0.442,45.846,0.779,100,1.906,0.525,0.843
30,0.109,0,0,0,0,1.516,0.500,0.277,54.457,0.595,100,1.804,0.554,0.758
31,0.139,0,0,0,0,1.329,0.438,0.405,29.368,0.991,100,1.083,0.924,0.889
32,0.196,0,0,0,0,1.703,0.572,0.436,59.192,0.850,100,1.313,0.762,0.882
33,0.192,0,0,0,0,1.555,0.580,0.421,59.096,0.996,100,1.378,0.725,0.917
34,0.152,0,0,0,0,1.384,0.481,0.403,147.484,1.000,100,1.194,0.838,0.864
35,0.061,0,0,0,0,0.933,0.351,0.221,38.465,0.880,100,1.587,0.630,0.757
36,0.227,0,0,0,0,1.648,0.574,0.503,145.056,1.000,100,1.142,0.876,0.920
37,0.257,0,0,0,0,1.796,0.625,0.524,151.368,1.000,100,1.193,0.838,0.894
38,0.174,0,0,0,0,1.461,0.551,0.403,17.039,1.000,100,1.368,0.731,0.930
39,0.514,0,0,0,0,2.736,1.028,0.636,173.177,0.863,100,1.616,0.619,0.904
40,0.266,0,0,0,0,1.928,0.729,0.464,12.293,0.898,100,1.569,0.637,0.878
41,0.392,0,0,0,0,2.308,0.896,0.557,92.510,0.925,100,1.607,0.622,0.947
42,0.174,0,0,0,0,1.461,0.484,0.459,14.297,1.000,100,1.055,0.948,0.920
43,0.170,0,0,0,0,2.005,0.620,0.349,75.825,0.531,100,1.779,0.562,0.772
44,0.022,0,0,0,0,0.637,0.276,0.100,169.099,0.674,100,2.749,0.364,0.769
