 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,0.383,0,0,0,0,2.340,0.896,0.544,142.916,0.880,100,1.646,0.607,0.893
2,0.418,0,0,0,0,2.495,0.987,0.540,4.852,0.844,100,1.828,0.547,0.919
3,0.227,0,0,0,0,1.741,0.579,0.498,106.620,0.939,100,1.163,0.860,0.881
4,0.309,0,0,0,0,2.005,0.679,0.580,114.062,0.966,100,1.172,0.854,0.910
5,0.375,0,0,0,0,2.363,0.898,0.531,105.672,0.843,100,1.692,0.591,0.896
6,0.375,0,0,0,0,2.308,0.829,0.575,88.332,0.884,100,1.441,0.694,0.920
7,0.671,0,0,0,0,3.141,1.073,0.796,152.280,0.854,100,1.347,0.742,0.895
8,0.941,0,0,0,0,4.416,1.924,0.623,129.414,0.606,100,3.090,0.324,0.842
9,0.357,0,0,0,0,2.231,0.856,0.531,112.324,0.902,100,1.612,0.620,0.921
10,0.462,0,0,0,0,2.511,0.966,0.608,123.487,0.920,100,1.589,0.629,0.930
11,0.688,0,0,0,0,3.335,1.265,0.693,67.470,0.778,100,1.827,0.547,0.888
12,0.340,0,0,0,0,2.137,0.713,0.607,34.343,0.935,100,1.176,0.850,0.912
13,0.266,0,0,0,0,1.944,0.647,0.523,33.197,0.883,100,1.238,0.808,0.871
14,0.409,0,0,0,0,2.340,0.752,0.693,117.447,0.940,100,1.085,0.922,0.895
15,0.527,0,0,0,0,2.984,1.239,0.542,75.266,0.744,100,2.287,0.437,0.893
16,0.571,0,0,0,0,3.093,1.282,0.567,105.709,0.749,100,2.261,0.442,0.907
17,0.858,0,0,0,0,3.489,1.230,0.888,37.392,0.886,100,1.384,0.722,0.936
18,0.305,0,0,0,0,2.044,0.681,0.570,85.892,0.917,100,1.194,0.837,0.909
19,0.240,0,0,0,0,1.780,0.630,0.484,80.248,0.950,100,1.300,0.769,0.902
20,0.470,0,0,0,0,2.907,1.181,0.507,109.355,0.700,100,2.328,0.430,0.871
21,0.723,0,0,0,0,3.451,1.387,0.664,71.911,0.763,100,2.089,0.479,0.905
22,0.362,0,0,0,0,2.247,0.796,0.578,107.729,0.900,100,1.377,0.726,0.888
23,0.357,0,0,0,0,2.231,0.793,0.574,84.105,0.902,100,1.382,0.723,0.901
24,0.366,0,0,0,0,2.137,0.728,0.640,133.318,1.000,100,1.137,0.879,0.939
25,0.283,0,0,0,0,2.005,0.736,0.490,85.327,0.885,100,1.501,0.666,0.909
26,0.218,0,0,0,0,1.648,0.562,0.493,137.193,1.000,100,1.140,0.877,0.917
27,0.261,0,0,0,0,1.835,0.637,0.522,114.420,0.976,100,1.220,0.819,0.909
28,0.444,0,0,0,0,2.852,1.202,0.471,100.304,0.686,100,2.552,0.392,0.846
29,0.335,0,0,0,0,2.099,0.709,0.602,88.601,0.957,100,1.177,0.849,0.917
30,0.266,0,0,0,0,1.928,0.617,0.549,92.148,0.898,100,1.124,0.890,0.865
31,0.340,0,0,0,0,2.153,0.743,0.582,30.366,0.921,100,1.276,0.783,0.881
32,0.340,0,0,0,0,2.099,0.707,0.612,30.499,0.969,100,1.156,0.865,0.907
33,0.396,0,0,0,0,2.379,0.888,0.568,58.938,0.880,100,1.563,0.640,0.897
34,0.340,0,0,0,0,2.231,0.751,0.576,162.381,0.858,100,1.305,0.766,0.872
35,0.658,0,0,0,0,3.863,1.568,0.534,20.006,0.554,100,2.936,0.341,0.789
36,0.967,0,0,0,0,3.940,1.445,0.852,97.431,0.783,100,1.695,0.590,0.912
37,0.409,0,0,0,0,2.581,0.973,0.536,63.815,0.772,100,1.815,0.551,0.862
38,0.270,0,0,0,0,2.021,0.605,0.569,55.261,0.831,100,1.063,0.941,0.886
39,0.257,0,0,0,0,1.928,0.588,0.557,178.828,0.869,100,1.057,0.946,0.874
40,0.488,0,0,0,0,2.697,1.004,0.619,153.885,0.843,100,1.623,0.616,0.903
41,0.453,0,0,0,0,2.604,0.920,0.627,94.328,0.839,100,1.468,0.681,0.897
42,0.405,0,0,0,0,2.768,0.828,0.623,153.640,0.664,100,1.329,0.752,0.838
43,0.166,0,0,0,0,2.340,0.559,0.377,163.265,0.380,100,1.480,0.675,0.691
44,0.545,0,0,0,0,3.257,1.218,0.569,22.113,0.645,100,2.139,0.467,0.817
45,0.292,0,0,0,0,2.060,0.737,0.504,50.515,0.864,100,1.461,0.684,0.876
46,0.052,0,0,0,0,0.956,0.355,0.187,90.000,0.719,100,1.897,0.527,0.800
47,0.902,0,0,0,0,3.669,1.278,0.898,117.198,0.842,100,1.423,0.703,0.896
48,0.523,0,0,0,0,4.136,1.094,0.608,119.665,0.384,100,1.798,0.556,0.628
