 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,0.279,0,0,0,0,1.873,0.617,0.575,96.397,0.998,100,1.072,0.933,0.921
2,0.209,0,0,0,0,1.664,0.607,0.438,123.065,0.949,100,1.386,0.722,0.865
3,0.296,0,0,0,0,2.137,0.868,0.434,82.390,0.815,100,1.998,0.500,0.883
4,0.279,0,0,0,0,1.912,0.736,0.482,175.139,0.958,100,1.525,0.656,0.928
5,0.135,0,0,0,0,1.329,0.473,0.363,56.079,0.960,100,1.303,0.767,0.886
6,0.497,0,0,0,0,2.511,0.827,0.764,174.381,0.990,100,1.082,0.924,0.927
7,0.383,0,0,0,0,2.324,0.916,0.533,156.711,0.892,100,1.718,0.582,0.917
8,0.192,0,0,0,0,1.609,0.538,0.453,51.196,0.930,100,1.188,0.842,0.863
9,0.754,0,0,0,0,3.428,1.165,0.824,166.905,0.806,100,1.414,0.707,0.872
10,0.170,0,0,0,0,1.500,0.612,0.353,4.252,0.949,100,1.732,0.577,0.940
11,0.157,0,0,0,0,1.477,0.448,0.446,108.652,0.903,100,1.003,0.997,0.809
12,0.131,0,0,0,0,1.384,0.439,0.379,72.863,0.857,100,1.157,0.865,0.857
13,0.227,0,0,0,0,2.021,0.706,0.408,129.662,0.697,100,1.730,0.578,0.839
14,0.148,0,0,0,0,1.384,0.477,0.395,141.285,0.972,100,1.206,0.829,0.872
15,0.671,0,0,0,0,3.583,1.333,0.641,79.719,0.657,100,2.079,0.481,0.865
16,0.675,0,0,0,0,3.287,1.230,0.699,17.255,0.785,100,1.761,0.568,0.920
17,0.091,0,0,0,0,1.796,0.495,0.235,52.430,0.356,100,2.100,0.476,0.600
18,0.218,0,0,0,0,1.687,0.627,0.443,19.741,0.962,100,1.416,0.706,0.917
19,0.388,0,0,0,0,2.231,0.776,0.636,156.457,0.979,100,1.221,0.819,0.932
20,0.074,0,0,0,0,1.291,0.476,0.198,35.410,0.559,100,2.405,0.416,0.723
21,1.394,0,0,0,0,4.696,1.473,1.205,44.446,0.794,100,1.223,0.818,0.908
22,0.505,0,0,0,0,2.659,0.961,0.669,31.503,0.898,100,1.437,0.696,0.903
23,0.523,0,0,0,0,2.829,1.126,0.591,65.402,0.821,100,1.904,0.525,0.906
24,0.492,0,0,0,0,2.681,1.015,0.617,124.048,0.860,100,1.645,0.608,0.919
25,1.215,0,0,0,0,4.774,1.455,1.064,117.328,0.670,100,1.368,0.731,0.889
26,0.174,0,0,0,0,1.500,0.574,0.386,110.959,0.973,100,1.487,0.673,0.930
27,0.240,0,0,0,0,1.780,0.677,0.450,33.190,0.950,100,1.504,0.665,0.909
28,0.357,0,0,0,0,2.324,0.842,0.540,28.983,0.831,100,1.560,0.641,0.886
29,0.414,0,0,0,0,2.604,1.006,0.524,33.634,0.767,100,1.920,0.521,0.888
30,0.296,0,0,0,0,2.208,0.931,0.405,124.796,0.763,100,2.300,0.435,0.872
31,0.523,0,0,0,0,3.164,1.342,0.496,53.941,0.656,100,2.706,0.370,0.866
32,0.479,0,0,0,0,3.125,1.324,0.461,141.240,0.616,100,2.874,0.348,0.806
33,0.279,0,0,0,0,1.983,0.751,0.473,44.151,0.891,100,1.587,0.630,0.877
34,0.531,0,0,0,0,2.807,1.098,0.616,136.263,0.848,100,1.783,0.561,0.884
35,0.431,0,0,0,0,2.627,1.022,0.537,80.805,0.785,100,1.901,0.526,0.896
36,0.688,0,0,0,0,4.642,1.474,0.594,179.914,0.401,100,2.480,0.403,0.631
37,0.205,0,0,0,0,1.632,0.626,0.416,8.179,0.966,100,1.505,0.664,0.940
38,0.135,0,0,0,0,1.384,0.434,0.396,90.000,0.886,100,1.097,0.911,0.816
39,0.296,0,0,0,0,2.137,0.848,0.445,76.348,0.815,100,1.908,0.524,0.895
40,0.279,0,0,0,0,1.989,0.771,0.461,78.884,0.885,100,1.673,0.598,0.928
41,0.584,0,0,0,0,3.125,1.072,0.693,24.024,0.751,100,1.546,0.647,0.873
42,0.052,0,0,0,0,0.972,0.345,0.193,170.134,0.695,100,1.786,0.560,0.800
43,2.217,0,0,0,0,5.549,1.739,1.623,138.858,0.905,100,1.072,0.933,0.945
44,0.322,0,0,0,0,2.340,0.970,0.423,145.891,0.740,100,2.294,0.436,0.846
45,0.257,0,0,0,0,1.873,0.710,0.461,23.157,0.920,100,1.543,0.648,0.901
46,0.362,0,0,0,0,2.137,0.702,0.656,120.675,0.995,100,1.069,0.935,0.938
47,0.457,0,0,0,0,2.417,0.866,0.672,127.874,0.984,100,1.288,0.777,0.938
48,0.274,0,0,0,0,1.967,0.762,0.459,15.728,0.892,100,1.660,0.602,0.887
49,0.227,0,0,0,0,1.741,0.649,0.444,81.547,0.939,100,1.460,0.685,0.897
50,0.684,0,0,0,0,3.039,0.948,0.918,12.156,0.931,100,1.032,0.969,0.921
51,0.301,0,0,0,0,1.983,0.686,0.557,19.526,0.961,100,1.231,0.812,0.890
52,0.253,0,0,0,0,1.851,0.711,0.452,134.232,0.927,100,1.574,0.635,0.885
53,0.322,0,0,0,0,2.176,0.789,0.520,78.480,0.855,100,1.516,0.660,0.897
54,0.706,0,0,0,0,3.956,1.666,0.539,68.656,0.567,100,3.087,0.324,0.822
55,0.183,0,0,0,0,1.664,0.555,0.420,32.205,0.830,100,1.323,0.756,0.824
56,0.244,0,0,0,0,1.873,0.699,0.445,29.808,0.873,100,1.571,0.637,0.903
57,0.614,0,0,0,0,3.669,1.483,0.527,53.914,0.573,100,2.812,0.356,0.801
58,0.366,0,0,0,0,2.440,1.026,0.454,177.688,0.772,100,2.261,0.442,0.918
59,0.902,0,0,0,0,3.412,1.093,1.051,112.179,0.973,100,1.040,0.961,0.952
60,0.619,0,0,0,0,3.341,1.393,0.565,101.074,0.696,100,2.464,0.406,0.896
61,0.292,0,0,0,0,2.005,0.814,0.457,171.933,0.912,100,1.783,0.561,0.918
62,0.401,0,0,0,0,2.581,1.105,0.462,142.467,0.756,100,2.394,0.418,0.876
63,0.383,0,0,0,0,2.495,0.998,0.489,158.242,0.774,100,2.039,0.490,0.884
64,0.423,0,0,0,0,2.456,0.839,0.641,38.733,0.880,100,1.309,0.764,0.902
65,0.144,0,0,0,0,1.329,0.443,0.413,8.130,1.000,100,1.071,0.934,0.904
66,0.305,0,0,0,0,2.021,0.762,0.509,135.835,0.938,100,1.497,0.668,0.892
67,1.085,0,0,0,0,6.026,2.014,0.686,60.803,0.375,100,2.936,0.341,0.604
