 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,0.305,0,0,0,0,2.044,0.741,0.524,82.704,0.917,100,1.416,0.706,0.903
2,0.523,0,0,0,0,2.752,0.970,0.686,124.379,0.867,100,1.413,0.708,0.892
3,0.222,0,0,0,0,1.648,0.562,0.504,27.925,1.000,100,1.115,0.896,0.911
4,0.022,0,0,0,0,0.824,0.332,0.083,112.500,0.403,100,3.986,0.251,0.556
5,0.240,0,0,0,0,1.687,0.562,0.543,142.854,1.000,100,1.035,0.966,0.940
6,0.266,0,0,0,0,1.835,0.689,0.491,154.117,0.992,100,1.403,0.713,0.910
7,0.470,0,0,0,0,2.752,1.132,0.529,145.711,0.781,100,2.140,0.467,0.885
8,0.684,0,0,0,0,3.644,1.623,0.537,179.494,0.647,100,3.024,0.331,0.929
9,0.213,0,0,0,0,1.741,0.567,0.480,111.093,0.885,100,1.181,0.847,0.852
10,0.187,0,0,0,0,1.664,0.518,0.461,45.037,0.850,100,1.124,0.890,0.851
11,0.235,0,0,0,0,1.780,0.669,0.448,77.730,0.933,100,1.493,0.670,0.908
12,0.610,0,0,0,0,3.367,1.432,0.542,46.681,0.676,100,2.639,0.379,0.883
13,0.357,0,0,0,0,2.324,0.925,0.492,107.869,0.831,100,1.881,0.532,0.891
14,0.305,0,0,0,0,1.967,0.738,0.526,172.301,0.991,100,1.405,0.712,0.921
15,0.680,0,0,0,0,3.801,0.978,0.885,109.946,0.591,100,1.106,0.904,0.834
16,1.638,0,0,0,0,6.119,1.630,1.280,19.435,0.550,100,1.273,0.785,0.873
17,0.335,0,0,0,0,2.115,0.697,0.613,162.718,0.942,100,1.136,0.880,0.885
18,0.301,0,0,0,0,2.044,0.741,0.516,75.940,0.904,100,1.435,0.697,0.914
19,2.056,0,0,0,0,7.223,1.876,1.396,122.364,0.495,100,1.344,0.744,0.837
20,0.396,0,0,0,0,2.401,0.910,0.555,70.905,0.864,100,1.641,0.609,0.919
21,0.383,0,0,0,0,2.379,0.904,0.540,68.452,0.851,100,1.675,0.597,0.880
22,0.327,0,0,0,0,2.379,0.829,0.502,106.704,0.726,100,1.653,0.605,0.852
23,0.222,0,0,0,0,1.741,0.555,0.509,34.916,0.921,100,1.090,0.917,0.872
24,0.388,0,0,0,0,2.511,0.941,0.525,87.761,0.773,100,1.794,0.558,0.899
25,0.322,0,0,0,0,2.044,0.714,0.575,61.159,0.969,100,1.242,0.805,0.931
26,0.344,0,0,0,0,2.231,0.820,0.534,150.920,0.869,100,1.536,0.651,0.908
27,0.684,0,0,0,0,3.644,1.515,0.575,85.262,0.647,100,2.634,0.380,0.908
28,0.449,0,0,0,0,2.511,0.884,0.647,115.438,0.894,100,1.366,0.732,0.900
29,0.257,0,0,0,0,1.780,0.625,0.524,165.654,1.000,100,1.192,0.839,0.922
30,0.205,0,0,0,0,1.664,0.533,0.489,15.886,0.929,100,1.089,0.918,0.862
