 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,1.024,0,0,0,0,4.136,1.183,1.102,97.221,0.752,100,1.074,0.931,0.902
2,0.719,0,0,0,0,3.280,1.089,0.840,56.030,0.839,100,1.296,0.771,0.912
3,0.070,0,0,0,0,1.477,0.408,0.218,2.724,0.401,100,1.876,0.533,0.640
4,0.379,0,0,0,0,2.324,0.808,0.597,162.216,0.882,100,1.354,0.738,0.897
5,0.518,0,0,0,0,3.235,1.089,0.606,130.441,0.623,100,1.796,0.557,0.810
6,0.501,0,0,0,0,3.389,0.945,0.675,80.834,0.548,100,1.400,0.714,0.813
7,0.113,0,0,0,0,1.796,0.440,0.328,14.373,0.441,100,1.344,0.744,0.675
8,0.283,0,0,0,0,3.795,0.984,0.367,142.980,0.247,100,2.684,0.373,0.580
9,0.026,0,0,0,0,0.692,0.264,0.126,170.538,0.686,100,2.089,0.479,0.800
10,0.309,0,0,0,0,2.884,0.998,0.394,8.730,0.467,100,2.531,0.395,0.793
11,0.026,0,0,0,0,0.785,0.357,0.093,149.830,0.532,100,3.827,0.261,0.632
12,0.745,0,0,0,0,3.792,1.621,0.585,12.513,0.651,100,2.769,0.361,0.886
13,0.536,0,0,0,0,2.939,1.004,0.680,60.509,0.780,100,1.477,0.677,0.863
14,0.849,0,0,0,0,4.416,1.116,0.969,80.808,0.547,100,1.151,0.869,0.876
15,0.240,0,0,0,0,1.780,0.596,0.512,57.012,0.950,100,1.164,0.859,0.902
16,0.479,0,0,0,0,2.659,0.925,0.660,158.519,0.852,100,1.401,0.714,0.884
17,0.819,0,0,0,0,4.790,1.198,0.870,111.170,0.449,100,1.377,0.726,0.787
18,0.096,0,0,0,0,1.345,0.492,0.248,138.297,0.665,100,1.985,0.504,0.710
19,0.444,0,0,0,0,2.955,0.818,0.691,155.687,0.640,100,1.183,0.845,0.826
20,0.340,0,0,0,0,2.488,1.054,0.411,132.907,0.690,100,2.567,0.390,0.834
21,0.348,0,0,0,0,2.511,0.779,0.569,66.807,0.695,100,1.369,0.731,0.879
22,0.388,0,0,0,0,3.553,1.135,0.435,30.221,0.386,100,2.611,0.383,0.767
23,0.331,0,0,0,0,2.115,0.710,0.594,144.574,0.930,100,1.196,0.836,0.899
24,0.200,0,0,0,0,1.648,0.519,0.491,165.971,0.927,100,1.057,0.946,0.885
25,0.549,0,0,0,0,2.720,0.988,0.707,157.098,0.932,100,1.398,0.715,0.937
26,0.213,0,0,0,0,1.648,0.544,0.500,53.582,0.988,100,1.089,0.918,0.899
27,0.392,0,0,0,0,2.643,0.990,0.504,179.974,0.705,100,1.962,0.510,0.861
28,0.261,0,0,0,0,1.835,0.608,0.547,128.858,0.976,100,1.111,0.900,0.889
29,0.244,0,0,0,0,1.873,0.623,0.498,152.754,0.873,100,1.252,0.799,0.896
30,0.231,0,0,0,0,1.983,0.602,0.488,48.740,0.738,100,1.234,0.810,0.803
31,0.035,0,0,0,0,1.143,0.402,0.110,18.625,0.335,100,3.637,0.275,0.552
32,0.558,0,0,0,0,3.109,1.196,0.594,15.856,0.725,100,2.015,0.496,0.877
33,0.414,0,0,0,0,2.433,0.816,0.646,59.907,0.878,100,1.264,0.791,0.888
34,0.444,0,0,0,0,2.643,1.006,0.563,46.445,0.799,100,1.787,0.560,0.891
35,0.240,0,0,0,0,1.835,0.574,0.532,49.969,0.894,100,1.080,0.926,0.853
36,0.418,0,0,0,0,2.565,0.814,0.654,35.004,0.798,100,1.244,0.804,0.850
37,0.283,0,0,0,0,2.005,0.623,0.579,70.766,0.885,100,1.076,0.930,0.872
38,0.274,0,0,0,0,2.636,0.697,0.501,108.263,0.496,100,1.390,0.720,0.737
39,0.213,0,0,0,0,2.263,0.632,0.430,115.083,0.524,100,1.471,0.680,0.676
40,0.170,0,0,0,0,1.609,0.517,0.418,91.679,0.824,100,1.236,0.809,0.886
41,1.394,0,0,0,0,5.916,1.687,1.052,163.399,0.500,100,1.604,0.624,0.803
42,0.200,0,0,0,0,1.944,0.576,0.443,163.618,0.666,100,1.299,0.770,0.773
43,0.057,0,0,0,0,1.252,0.357,0.202,63.159,0.454,100,1.767,0.566,0.634
44,0.022,0,0,0,0,0.747,0.195,0.142,150.482,0.491,100,1.371,0.729,0.625
45,0.636,0,0,0,0,5.482,1.275,0.635,4.241,0.266,100,2.009,0.498,0.667
46,0.048,0,0,0,0,1.345,0.324,0.188,2.990,0.333,100,1.722,0.581,0.564
47,0.253,0,0,0,0,1.835,0.670,0.480,113.950,0.943,100,1.394,0.717,0.885
48,0.218,0,0,0,0,1.819,0.599,0.463,102.302,0.827,100,1.295,0.772,0.862
49,0.414,0,0,0,0,2.472,0.974,0.541,25.359,0.851,100,1.800,0.556,0.900
50,0.035,0,0,0,0,1.181,0.496,0.089,3.466,0.314,100,5.550,0.180,0.640
51,0.170,0,0,0,0,1.609,0.488,0.444,31.314,0.824,100,1.099,0.910,0.812
52,0.057,0,0,0,0,1.104,0.292,0.247,71.262,0.584,100,1.180,0.847,0.684
